counter,seconds,micro seconds,local clock [ns]
0,1627158622,97477,2200004
1,1627158622,302623,2250005
2,1627158622,507803,2300006
3,1627158622,710545,2350007
4,1627158622,915650,2400008
5,1627158623,116791,2450009
6,1627158623,317327,2500010
7,1627158623,518692,2550011
8,1627158623,719976,2600012
9,1627158623,920130,2650013
10,1627158624,125311,2700014
11,1627158624,329985,2750015
12,1627158624,530714,2800016
13,1627158624,733692,2850017
14,1627158624,938927,2900018
15,1627158625,144140,2950019
16,1627158625,349301,3000020
17,1627158625,554520,3050021
18,1627158625,759694,3100022
19,1627158625,960189,3150023
20,1627158626,165346,3200024
21,1627158626,370552,3250025
22,1627158626,571793,3300026
23,1627158626,772998,3350027
24,1627158626,977373,3400028
25,1627158627,177580,3450029
26,1627158627,380266,3500030
27,1627158627,583345,3550031
28,1627158627,787335,3600032
29,1627158627,988518,3650033
30,1627158628,193585,3700034
31,1627158628,398794,3750035
32,1627158628,599888,3800036
33,1627158628,801004,3850037
34,1627158629,2123,3900038
35,1627158629,207314,3950039
36,1627158629,412486,4000040
37,1627158629,617694,4050041
38,1627158629,821312,4100042
39,1627158630,23558,4150043
40,1627158630,225280,4200044
41,1627158630,427092,4250045
42,1627158630,629524,4300046
43,1627158630,833593,4350047
44,1627158631,34354,4400048
45,1627158631,235613,4450049
46,1627158631,438077,4500050
47,1627158631,639590,4550051
48,1627158631,841559,4600052
49,1627158632,43970,4650053
50,1627158632,248198,4700054
51,1627158632,453364,4750055
52,1627158632,658596,4800056
53,1627158632,863732,4850057
54,1627158633,68925,4900058
55,1627158633,274100,4950059
56,1627158633,476970,5000060
57,1627158633,681383,5050061
58,1627158633,886326,5100062
59,1627158634,91512,5150063
60,1627158634,296683,5200064
61,1627158634,501875,5250065
62,1627158634,707068,5300066
63,1627158634,912261,5350067
64,1627158635,117464,5400068
65,1627158635,322626,5450069
66,1627158635,527304,5500070
67,1627158635,732493,5550071
68,1627158635,937743,5600072
69,1627158636,142860,5650073
70,1627158636,348047,5700074
71,1627158636,553306,5750075
72,1627158636,758542,5800076
73,1627158636,962902,5850077
74,1627158637,168118,5900078
75,1627158637,373355,5950079
76,1627158637,578295,6000080
77,1627158637,778802,6050081
78,1627158637,984002,6100082
79,1627158638,188849,6150083
80,1627158638,392286,6200084
81,1627158638,596685,6250085
82,1627158638,801927,6300086
83,1627158639,3867,6350087
84,1627158639,209048,6400088
85,1627158639,409443,6450089
86,1627158639,614651,6500090
87,1627158639,816595,6550091
88,1627158640,16908,6600092
89,1627158640,222153,6650093
90,1627158640,426821,6700094
91,1627158640,629342,6750095
92,1627158640,831917,6800096
93,1627158641,34476,6850097
94,1627158641,236960,6900098
95,1627158641,439499,6950099
96,1627158641,641971,7000100
97,1627158641,844405,7050101
98,1627158642,45016,7100102
99,1627158642,248755,7150103
100,1627158642,451169,7200104
101,1627158642,653531,7250105
102,1627158642,856026,7300106
103,1627158643,58377,7350107
104,1627158643,260843,7400108
105,1627158643,463269,7450109
106,1627158643,665728,7500110
107,1627158643,868278,7550111
108,1627158644,72079,7600112
109,1627158644,275763,7650113
110,1627158644,479986,7700114
111,1627158644,685139,7750115
112,1627158644,885986,7800116
113,1627158645,91118,7850117
114,1627158645,296309,7900118
115,1627158645,497478,7950119
116,1627158645,702697,8000120
117,1627158645,907833,8050121
118,1627158646,110867,8100122
119,1627158646,316057,8150123
120,1627158646,518779,8200124
121,1627158646,724011,8250125
122,1627158646,927364,8300126
123,1627158647,132566,8350127
124,1627158647,337820,8400128
125,1627158647,543065,8450129
126,1627158647,747632,8500130
127,1627158647,951745,8550131
128,1627158648,156962,8600132
129,1627158648,358996,8650133
130,1627158648,564246,8700134
131,1627158648,769463,8750135
132,1627158648,970897,8800136
133,1627158649,175080,8850137
134,1627158649,380316,8900138
135,1627158649,585573,8950139
136,1627158649,790260,9000140
137,1627158649,995462,9050141
138,1627158650,200698,9100142
139,1627158650,405960,9150143
140,1627158650,611185,9200144
141,1627158650,814756,9250145
142,1627158651,19915,9300146
143,1627158651,220333,9350147
144,1627158651,425570,9400148
145,1627158651,627363,9450149
146,1627158651,832437,9500150
147,1627158652,37661,9550151
148,1627158652,242860,9600152
149,1627158652,448112,9650153
150,1627158652,648148,9700154
151,1627158652,853379,9750155
152,1627158653,58617,9800156
153,1627158653,262107,9850157
154,1627158653,467350,9900158
155,1627158653,669826,9950159
156,1627158653,872184,10000160
157,1627158654,74694,10050161
158,1627158654,277199,10100162
159,1627158654,477420,10150163
160,1627158654,681313,10200164
161,1627158654,883837,10250165
162,1627158655,85549,10300166
163,1627158655,287952,10350167
164,1627158655,490348,10400168
165,1627158655,692772,10450169
166,1627158655,895181,10500170
167,1627158656,97577,10550171
168,1627158656,299548,10600172
169,1627158656,502016,10650173
170,1627158656,703749,10700174
171,1627158656,906107,10750175
172,1627158657,108532,10800176
173,1627158657,312533,10850177
174,1627158657,513283,10900178
175,1627158657,716514,10950179
176,1627158657,916954,11000180
177,1627158658,118490,11050181
178,1627158658,320893,11100182
179,1627158658,523331,11150183
180,1627158658,725759,11200184
181,1627158658,928067,11250185
182,1627158659,130373,11300186
183,1627158659,335534,11350187
184,1627158659,540696,11400188
185,1627158659,745885,11450189
186,1627158659,949296,11500190
187,1627158660,151848,11550191
188,1627158660,357008,11600192
189,1627158660,562196,11650193
190,1627158660,767402,11700194
191,1627158660,972605,11750195
192,1627158661,177335,11800196
193,1627158661,377536,11850197
194,1627158661,578260,11900198
195,1627158661,779489,11950199
196,1627158661,979898,12000200
197,1627158662,183751,12050201
198,1627158662,386708,12100202
199,1627158662,586984,12150203
200,1627158662,787239,12200204
201,1627158662,991798,12250205
202,1627158663,195012,12300206
203,1627158663,398822,12350207
204,1627158663,599810,12400208
205,1627158663,801190,12450209
206,1627158664,2837,12500210
207,1627158664,203602,12550211
208,1627158664,406149,12600212
209,1627158664,610417,12650213
210,1627158664,812148,12700214
211,1627158665,14952,12750215
212,1627158665,219731,12800216
213,1627158665,423927,12850217
214,1627158665,627753,12900218
215,1627158665,828398,12950219
216,1627158666,33265,13000220
217,1627158666,237051,13050221
218,1627158666,437602,13100222
219,1627158666,638615,13150223
220,1627158666,840622,13200224
221,1627158667,43748,13250225
222,1627158667,244980,13300226
223,1627158667,447261,13350227
224,1627158667,651007,13400228
225,1627158667,851912,13450229
226,1627158668,52822,13500230
227,1627158668,256582,13550231
228,1627158668,456874,13600232
229,1627158668,661991,13650233
230,1627158668,862401,13700234
231,1627158669,62858,13750235
232,1627158669,263327,13800236
233,1627158669,463472,13850237
234,1627158669,667342,13900238
235,1627158669,868094,13950239
236,1627158670,73243,14000240
237,1627158670,277280,14050241
238,1627158670,478105,14100242
239,1627158670,680000,14150243
240,1627158670,884260,14200244
241,1627158671,89022,14250245
242,1627158671,291659,14300246
243,1627158671,492797,14350247
244,1627158671,697117,14400248
245,1627158671,902291,14450249
246,1627158672,103292,14500250
247,1627158672,307706,14550251
248,1627158672,512838,14600252
249,1627158672,716613,14650253
250,1627158672,924116,14700254
251,1627158673,125925,14750255
252,1627158673,327044,14800256
253,1627158673,531274,14850257
254,1627158673,733805,14900258
255,1627158673,936077,14950259
256,1627158674,139529,15000260
257,1627158674,344695,15050261
258,1627158674,548428,15100262
259,1627158674,748616,15150263
260,1627158674,948752,15200264
261,1627158675,153918,15250265
262,1627158675,357538,15300266
263,1627158675,561676,15350267
264,1627158675,765709,15400268
265,1627158675,966244,15450269
266,1627158676,170023,15500270
267,1627158676,374465,15550271
268,1627158676,575587,15600272
269,1627158676,776176,15650273
270,1627158676,977478,15700274
271,1627158677,181222,15750275
272,1627158677,382137,15800276
273,1627158677,584568,15850277
274,1627158677,789309,15900278
275,1627158677,991265,15950279
276,1627158678,195671,16000280
277,1627158678,395915,16050281
278,1627158678,598663,16100282
279,1627158678,799049,16150283
280,1627158678,999210,16200284
281,1627158679,204414,16250285
282,1627158679,407745,16300286
283,1627158679,609267,16350287
284,1627158679,813915,16400288
285,1627158680,14811,16450289
286,1627158680,215479,16500290
287,1627158680,416832,16550291
288,1627158680,621225,16600292
289,1627158680,823002,16650293
290,1627158681,23381,16700294
291,1627158681,223607,16750295
292,1627158681,427356,16800296
293,1627158681,630364,16850297
294,1627158681,835259,16900298
295,1627158682,38355,16950299
296,1627158682,243043,17000300
297,1627158682,447200,17050301
298,1627158682,651590,17100302
299,1627158682,852161,17150303
300,1627158683,53792,17200304
301,1627158683,255865,17250305
302,1627158683,459822,17300306
303,1627158683,660789,17350307
304,1627158683,865616,17400308
305,1627158684,68670,17450309
306,1627158684,270227,17500310
307,1627158684,471960,17550311
308,1627158684,672288,17600312
309,1627158684,872439,17650313
310,1627158685,76941,17700314
311,1627158685,282178,17750315
312,1627158685,485629,17800316
313,1627158685,686088,17850317
314,1627158685,886326,17900318
315,1627158686,86871,17950319
316,1627158686,287642,18000320
317,1627158686,487748,18050321
318,1627158686,688001,18100322
319,1627158686,891153,18150323
320,1627158687,95025,18200324
321,1627158687,298974,18250325
322,1627158687,503389,18300326
323,1627158687,703859,18350327
324,1627158687,904917,18400328
325,1627158688,106729,18450329
326,1627158688,308393,18500330
327,1627158688,509221,18550331
328,1627158688,709468,18600332
329,1627158688,914645,18650333
330,1627158689,116569,18700334
331,1627158689,316692,18750335
332,1627158689,516803,18800336
333,1627158689,720370,18850337
334,1627158689,921808,18900338
335,1627158690,126459,18950339
336,1627158690,330670,19000340
337,1627158690,532953,19050341
338,1627158690,734014,19100342
339,1627158690,936483,19150343
340,1627158691,141240,19200344
341,1627158691,342283,19250345
342,1627158691,542724,19300346
343,1627158691,747159,19350347
