counter,seconds,micro seconds,local clock [ns]
0,1627158619,247792,1500002
1,1627158619,448421,1550003
2,1627158619,653533,1600004
3,1627158619,853688,1650005
4,1627158620,55172,1700006
5,1627158620,260216,1750007
6,1627158620,465330,1800008
7,1627158620,670505,1850009
8,1627158620,872860,1900010
9,1627158621,76223,1950011
10,1627158621,277364,2000012
11,1627158621,481937,2050013
12,1627158621,687034,2100014
13,1627158621,892255,2150015
14,1627158622,97421,2200016
15,1627158622,302593,2250017
16,1627158622,507805,2300018
17,1627158622,710526,2350019
18,1627158622,915631,2400020
19,1627158623,116793,2450021
20,1627158623,317327,2500022
21,1627158623,518689,2550023
22,1627158623,719943,2600024
23,1627158623,920052,2650025
24,1627158624,125288,2700026
25,1627158624,329991,2750027
26,1627158624,530739,2800028
27,1627158624,733720,2850029
28,1627158624,938946,2900030
29,1627158625,144162,2950031
30,1627158625,349301,3000032
31,1627158625,554518,3050033
32,1627158625,759664,3100034
33,1627158625,960194,3150035
34,1627158626,165364,3200036
35,1627158626,370540,3250037
36,1627158626,571748,3300038
37,1627158626,772951,3350039
38,1627158626,977320,3400040
39,1627158627,177543,3450041
40,1627158627,380218,3500042
41,1627158627,583196,3550043
42,1627158627,787329,3600044
43,1627158627,988507,3650045
44,1627158628,193611,3700046
45,1627158628,398776,3750047
46,1627158628,599923,3800048
47,1627158628,801030,3850049
48,1627158629,2162,3900050
49,1627158629,207314,3950051
50,1627158629,412504,4000052
51,1627158629,617679,4050053
52,1627158629,821242,4100054
53,1627158630,23487,4150055
54,1627158630,225223,4200056
55,1627158630,427055,4250057
56,1627158630,629475,4300058
57,1627158630,833567,4350059
58,1627158631,34326,4400060
59,1627158631,235582,4450061
60,1627158631,438031,4500062
61,1627158631,639569,4550063
62,1627158631,841513,4600064
63,1627158632,43963,4650065
64,1627158632,248241,4700066
65,1627158632,453391,4750067
66,1627158632,658570,4800068
67,1627158632,863735,4850069
68,1627158633,68908,4900070
69,1627158633,274100,4950071
70,1627158633,476943,5000072
71,1627158633,681383,5050073
72,1627158633,886356,5100074
73,1627158634,91512,5150075
74,1627158634,296697,5200076
75,1627158634,501904,5250077
76,1627158634,707116,5300078
77,1627158634,912310,5350079
78,1627158635,117486,5400080
79,1627158635,322626,5450081
80,1627158635,527336,5500082
81,1627158635,732524,5550083
82,1627158635,937680,5600084
83,1627158636,142889,5650085
84,1627158636,348048,5700086
85,1627158636,553352,5750087
86,1627158636,758586,5800088
87,1627158636,962958,5850089
88,1627158637,168122,5900090
89,1627158637,373373,5950091
90,1627158637,578276,6000092
91,1627158637,778855,6050093
92,1627158637,984031,6100094
93,1627158638,188818,6150095
94,1627158638,392229,6200096
95,1627158638,596677,6250097
96,1627158638,801932,6300098
97,1627158639,3803,6350099
98,1627158639,209046,6400100
