counter,seconds,micro seconds,local clock [ns]
0,1627158613,370827,50000
1,1627158613,571556,100000
2,1627158613,772248,150000
3,1627158613,976022,200000
4,1627158614,178367,250000
5,1627158614,378633,300000
6,1627158614,582862,350000
7,1627158614,784323,400000
8,1627158614,988253,450000
9,1627158615,189036,500000
10,1627158615,392084,550000
11,1627158615,595657,600000
12,1627158615,798158,650000
13,1627158616,1545,700000
14,1627158616,206329,750000
15,1627158616,407255,800000
16,1627158616,607505,850000
17,1627158616,808832,900000
18,1627158617,9954,950000
19,1627158617,212941,1000000
20,1627158617,415573,1050000
21,1627158617,617034,1100000
22,1627158617,819525,1150000
23,1627158618,19981,1200000
24,1627158618,237358,1250000
25,1627158618,440281,1300000
26,1627158618,641883,1350000
27,1627158618,846102,1400000
28,1627158619,47497,1450000
29,1627158619,247788,1500000
30,1627158619,448415,1550000
31,1627158619,653588,1600000
32,1627158619,853702,1650000
33,1627158620,55272,1700000
34,1627158620,260216,1750000
35,1627158620,465307,1800000
36,1627158620,670502,1850000
37,1627158620,872881,1900000
38,1627158621,76202,1950000
39,1627158621,277317,2000000
40,1627158621,481891,2050000
41,1627158621,687049,2100000
42,1627158621,892253,2150000
43,1627158622,97442,2200000
44,1627158622,302612,2250000
45,1627158622,507789,2300000
46,1627158622,710528,2350000
47,1627158622,915659,2400000
48,1627158623,116810,2450000
49,1627158623,317352,2500000
50,1627158623,518737,2550000
51,1627158623,719977,2600000
52,1627158623,920122,2650000
53,1627158624,125312,2700000
54,1627158624,329982,2750000
55,1627158624,530714,2800000
56,1627158624,733723,2850000
57,1627158624,938947,2900000
58,1627158625,144151,2950000
59,1627158625,349381,3000000
60,1627158625,554488,3050000
61,1627158625,759662,3100000
62,1627158625,960232,3150000
63,1627158626,165349,3200000
64,1627158626,370522,3250000
65,1627158626,571732,3300000
66,1627158626,772976,3350000
67,1627158626,977349,3400000
68,1627158627,177553,3450000
69,1627158627,380203,3500000
70,1627158627,583161,3550000
71,1627158627,787317,3600000
72,1627158627,988413,3650000
73,1627158628,193596,3700000
74,1627158628,398776,3750000
75,1627158628,599886,3800000
76,1627158628,801046,3850000
77,1627158629,2179,3900000
78,1627158629,207337,3950000
79,1627158629,412489,4000000
80,1627158629,617662,4050000
81,1627158629,821261,4100000
82,1627158630,23528,4150000
83,1627158630,225248,4200000
84,1627158630,427059,4250000
85,1627158630,629492,4300000
86,1627158630,833566,4350000
87,1627158631,34326,4400000
88,1627158631,235577,4450000
89,1627158631,438018,4500000
90,1627158631,639526,4550000
91,1627158631,841499,4600000
92,1627158632,43920,4650000
93,1627158632,248186,4700000
94,1627158632,453360,4750000
95,1627158632,658553,4800000
96,1627158632,863732,4850000
97,1627158633,68942,4900000
98,1627158633,274121,4950000
99,1627158633,476973,5000000
100,1627158633,681438,5050000
101,1627158633,886357,5100000
102,1627158634,91538,5150000
103,1627158634,296691,5200000
104,1627158634,501891,5250000
105,1627158634,707069,5300000
106,1627158634,912255,5350000
107,1627158635,117444,5400000
108,1627158635,322632,5450000
109,1627158635,527306,5500000
110,1627158635,732512,5550000
111,1627158635,937747,5600000
112,1627158636,142898,5650000
113,1627158636,348047,5700000
114,1627158636,553324,5750000
115,1627158636,758560,5800000
116,1627158636,962902,5850000
117,1627158637,168150,5900000
118,1627158637,373392,5950000
119,1627158637,578301,6000000
120,1627158637,778798,6050000
121,1627158637,984037,6100000
122,1627158638,188818,6150000
123,1627158638,392234,6200000
124,1627158638,596677,6250000
