counter,seconds,micro seconds,local clock [ns]
0,1627158617,819548,1150001
1,1627158618,20009,1200002
2,1627158618,237352,1250003
3,1627158618,439900,1300004
4,1627158618,641877,1350005
5,1627158618,846102,1400006
6,1627158619,47501,1450007
7,1627158619,247778,1500008
8,1627158619,448403,1550009
9,1627158619,653531,1600010
10,1627158619,853684,1650011
11,1627158620,55187,1700012
12,1627158620,260263,1750013
13,1627158620,465324,1800014
14,1627158620,670481,1850015
15,1627158620,872860,1900016
16,1627158621,76168,1950017
17,1627158621,277319,2000018
18,1627158621,481910,2050019
19,1627158621,687058,2100020
20,1627158621,892245,2150021
21,1627158622,97444,2200022
22,1627158622,302596,2250023
23,1627158622,507772,2300024
24,1627158622,710525,2350025
25,1627158622,915630,2400026
26,1627158623,116805,2450027
27,1627158623,317346,2500028
28,1627158623,518723,2550029
29,1627158623,719945,2600030
30,1627158623,920048,2650031
31,1627158624,125288,2700032
32,1627158624,330007,2750033
33,1627158624,530714,2800034
34,1627158624,733693,2850035
35,1627158624,938927,2900036
36,1627158625,144119,2950037
37,1627158625,349302,3000038
38,1627158625,554488,3050039
39,1627158625,759683,3100040
40,1627158625,960206,3150041
41,1627158626,165375,3200042
42,1627158626,370547,3250043
43,1627158626,571774,3300044
44,1627158626,772982,3350045
45,1627158626,977350,3400046
46,1627158627,177571,3450047
47,1627158627,380245,3500048
48,1627158627,583200,3550049
49,1627158627,787341,3600050
50,1627158627,988662,3650051
51,1627158628,193639,3700052
52,1627158628,398799,3750053
53,1627158628,599921,3800054
54,1627158628,801023,3850055
55,1627158629,2126,3900056
56,1627158629,207314,3950057
57,1627158629,412509,4000058
58,1627158629,617692,4050059
59,1627158629,821301,4100060
60,1627158630,23600,4150061
61,1627158630,225306,4200062
62,1627158630,427097,4250063
63,1627158630,629553,4300064
64,1627158630,833622,4350065
65,1627158631,34390,4400066
66,1627158631,235634,4450067
67,1627158631,438072,4500068
68,1627158631,639582,4550069
69,1627158631,841500,4600070
70,1627158632,43900,4650071
71,1627158632,248185,4700072
72,1627158632,453374,4750073
73,1627158632,658552,4800074
74,1627158632,863771,4850075
75,1627158633,68911,4900076
76,1627158633,274117,4950077
77,1627158633,477035,5000078
78,1627158633,681418,5050079
79,1627158633,886331,5100080
80,1627158634,91512,5150081
81,1627158634,296706,5200082
82,1627158634,501875,5250083
83,1627158634,707068,5300084
84,1627158634,912255,5350085
85,1627158635,117444,5400086
86,1627158635,322662,5450087
87,1627158635,527332,5500088
88,1627158635,732494,5550089
89,1627158635,937680,5600090
90,1627158636,142866,5650091
91,1627158636,348109,5700092
92,1627158636,553306,5750093
93,1627158636,758543,5800094
94,1627158636,962885,5850095
95,1627158637,168118,5900096
96,1627158637,373355,5950097
97,1627158637,578261,6000098
98,1627158637,778772,6050099
99,1627158637,984002,6100100
100,1627158638,188818,6150101
101,1627158638,392210,6200102
102,1627158638,596657,6250103
103,1627158638,801920,6300104
104,1627158639,3803,6350105
105,1627158639,209062,6400106
106,1627158639,409458,6450107
107,1627158639,614682,6500108
108,1627158639,816633,6550109
109,1627158640,16929,6600110
110,1627158640,222176,6650111
111,1627158640,426843,6700112
112,1627158640,629346,6750113
113,1627158640,831876,6800114
114,1627158641,34441,6850115
115,1627158641,237014,6900116
116,1627158641,439532,6950117
117,1627158641,642004,7000118
118,1627158641,844390,7050119
119,1627158642,45003,7100120
120,1627158642,248777,7150121
121,1627158642,451193,7200122
122,1627158642,653588,7250123
123,1627158642,856086,7300124
124,1627158643,58370,7350125
125,1627158643,260796,7400126
126,1627158643,463248,7450127
127,1627158643,665685,7500128
128,1627158643,868269,7550129
129,1627158644,72034,7600130
130,1627158644,275684,7650131
131,1627158644,479970,7700132
132,1627158644,685127,7750133
133,1627158644,885926,7800134
134,1627158645,91147,7850135
135,1627158645,296299,7900136
