counter,seconds,micro seconds,local clock [ns]
198,1627158660,972569,11750201
199,1627158661,177305,11800202
200,1627158661,377564,11850203
201,1627158661,578301,11900204
202,1627158661,779510,11950205
203,1627158661,979924,12000206
204,1627158662,183752,12050207
205,1627158662,386713,12100208
206,1627158662,586996,12150209
207,1627158662,787249,12200210
208,1627158662,991812,12250211
209,1627158663,195040,12300212
210,1627158663,398845,12350213
211,1627158663,600702,12400214
212,1627158663,801210,12450215
213,1627158664,2852,12500216
214,1627158664,203579,12550217
215,1627158664,406148,12600218
216,1627158664,610418,12650219
217,1627158664,812135,12700220
218,1627158665,12867,12750221
219,1627158665,218063,12800222
220,1627158665,418453,12850223
221,1627158665,623659,12900224
222,1627158665,827466,12950225
223,1627158666,27583,13000226
224,1627158666,227971,13050227
225,1627158666,428923,13100228
226,1627158666,631896,13150229
227,1627158666,832755,13200230
228,1627158667,33316,13250231
229,1627158667,236204,13300232
230,1627158667,440463,13350233
231,1627158667,645145,13400234
232,1627158667,849947,13450235
233,1627158668,52804,13500236
234,1627158668,256581,13550237
235,1627158668,456858,13600238
236,1627158668,661990,13650239
237,1627158668,862401,13700240
238,1627158669,62848,13750241
239,1627158669,263330,13800242
240,1627158669,463459,13850243
241,1627158669,667308,13900244
242,1627158669,868033,13950245
243,1627158670,73233,14000246
244,1627158670,277246,14050247
245,1627158670,478078,14100248
246,1627158670,679990,14150249
247,1627158670,884250,14200250
248,1627158671,89022,14250251
249,1627158671,291609,14300252
250,1627158671,492778,14350253
251,1627158671,697119,14400254
252,1627158671,902261,14450255
253,1627158672,103276,14500256
254,1627158672,307661,14550257
255,1627158672,512868,14600258
256,1627158672,716643,14650259
257,1627158672,924134,14700260
258,1627158673,125985,14750261
259,1627158673,327091,14800262
260,1627158673,531289,14850263
261,1627158673,733784,14900264
262,1627158673,936051,14950265
263,1627158674,139516,15000266
264,1627158674,344714,15050267
265,1627158674,548466,15100268
266,1627158674,748589,15150269
267,1627158674,948726,15200270
268,1627158675,153934,15250271
269,1627158675,357568,15300272
270,1627158675,561667,15350273
271,1627158675,765724,15400274
272,1627158675,966273,15450275
273,1627158676,169998,15500276
274,1627158676,374345,15550277
275,1627158676,575345,15600278
276,1627158676,776162,15650279
277,1627158676,977457,15700280
278,1627158677,181186,15750281
279,1627158677,382059,15800282
280,1627158677,584524,15850283
281,1627158677,789292,15900284
282,1627158677,991268,15950285
283,1627158678,195687,16000286
284,1627158678,395950,16050287
285,1627158678,598688,16100288
286,1627158678,799070,16150289
287,1627158678,999225,16200290
288,1627158679,204423,16250291
289,1627158679,407748,16300292
290,1627158679,609249,16350293
291,1627158679,813885,16400294
292,1627158680,14766,16450295
293,1627158680,215438,16500296
294,1627158680,415575,16550297
295,1627158680,616766,16600298
296,1627158680,816922,16650299
297,1627158681,22115,16700300
298,1627158681,222227,16750301
299,1627158681,427307,16800302
300,1627158681,630326,16850303
301,1627158681,835213,16900304
302,1627158682,38356,16950305
303,1627158682,243044,17000306
304,1627158682,447234,17050307
305,1627158682,651601,17100308
306,1627158682,852204,17150309
307,1627158683,53817,17200310
308,1627158683,255884,17250311
309,1627158683,459868,17300312
310,1627158683,660826,17350313
311,1627158683,865635,17400314
312,1627158684,68653,17450315
313,1627158684,270199,17500316
314,1627158684,471934,17550317
315,1627158684,672288,17600318
316,1627158684,872449,17650319
317,1627158685,76944,17700320
318,1627158685,282161,17750321
319,1627158685,485606,17800322
320,1627158685,686070,17850323
321,1627158685,886354,17900324
322,1627158686,86838,17950325
323,1627158686,287634,18000326
324,1627158686,487727,18050327
325,1627158686,687997,18100328
326,1627158686,891138,18150329
327,1627158687,94991,18200330
328,1627158687,298946,18250331
329,1627158687,503389,18300332
330,1627158687,703829,18350333
331,1627158687,904893,18400334
332,1627158688,106726,18450335
333,1627158688,308345,18500336
334,1627158688,509191,18550337
335,1627158688,709456,18600338
336,1627158688,914625,18650339
337,1627158689,116549,18700340
338,1627158689,316690,18750341
339,1627158689,516771,18800342
340,1627158689,720352,18850343
341,1627158689,921750,18900344
342,1627158690,126445,18950345
343,1627158690,330646,19000346
344,1627158690,532926,19050347
345,1627158690,733980,19100348
346,1627158690,936479,19150349
347,1627158691,141231,19200350
348,1627158691,342277,19250351
349,1627158691,542745,19300352
350,1627158691,747160,19350353
351,1627158691,950965,19400354
352,1627158692,156140,19450355
353,1627158692,359630,19500356
354,1627158692,560087,19550357
355,1627158692,760203,19600358
356,1627158692,964992,19650359
357,1627158693,165111,19700360
358,1627158693,369387,19750361
359,1627158693,574538,19800362
360,1627158693,776507,19850363
361,1627158693,976769,19900364
362,1627158694,177528,19950365
363,1627158694,377884,20000366
364,1627158694,583077,20050367
365,1627158694,787340,20100368
366,1627158694,992554,20150369
367,1627158695,197001,20200370
368,1627158695,401831,20250371
369,1627158695,602702,20300372
370,1627158695,802821,20350373
371,1627158696,4934,20400374
372,1627158696,210115,20450375
373,1627158696,415300,20500376
374,1627158696,619069,20550377
375,1627158696,822585,20600378
376,1627158697,27597,20650379
377,1627158697,232777,20700380
378,1627158697,436115,20750381
379,1627158697,636766,20800382
380,1627158697,837093,20850383
381,1627158698,37273,20900384
382,1627158698,239181,20950385
383,1627158698,439275,21000386
384,1627158698,644450,21050387
385,1627158698,845507,21100388
386,1627158699,50595,21150389
387,1627158699,253603,21200390
388,1627158699,453728,21250391
389,1627158699,653865,21300392
390,1627158699,859093,21350393
391,1627158700,61450,21400394
392,1627158700,262210,21450395
