counter,seconds,micro seconds,local clock [us]
198,1627108327,941646,11150199
199,1627108328,146774,11200200
200,1627108328,348818,11250201
201,1627108328,549304,11300202
202,1627108328,750386,11350203
203,1627108328,953662,11400204
204,1627108329,156866,11450205
205,1627108329,359153,11500206
206,1627108329,564285,11550207
207,1627108329,765141,11600208
208,1627108329,966951,11650209
209,1627108330,170258,11700210
210,1627108330,373539,11750211
211,1627108330,578186,11800212
212,1627108330,782904,11850213
213,1627108330,986622,11900214
214,1627108331,188854,11950215
215,1627108331,393769,12000216
216,1627108331,597047,12050217
217,1627108331,801228,12100218
218,1627108332,2342,12150219
219,1627108332,205663,12200220
220,1627108332,409457,12250221
221,1627108332,614026,12300222
222,1627108332,815962,12350223
223,1627108333,20526,12400224
224,1627108333,221376,12450225
225,1627108333,425451,12500226
226,1627108333,629028,12550227
227,1627108333,834477,12600228
228,1627108334,34736,12650229
229,1627108334,238301,12700230
230,1627108334,440031,12750231
231,1627108334,643866,12800232
232,1627108334,848227,12850233
233,1627108335,52257,12900234
234,1627108335,254110,12950235
235,1627108335,455715,13000236
236,1627108335,657970,13050237
237,1627108335,858635,13100238
238,1627108336,62551,13150239
239,1627108336,267387,13200240
240,1627108336,468617,13250241
241,1627108336,668913,13300242
242,1627108336,871609,13350243
243,1627108337,74280,13400244
244,1627108337,278530,13450245
245,1627108337,482059,13500246
246,1627108337,683273,13550247
247,1627108337,887491,13600248
248,1627108338,91676,13650249
249,1627108338,295082,13700250
250,1627108338,500198,13750251
251,1627108338,701156,13800252
252,1627108338,904899,13850253
253,1627108339,107248,13900254
254,1627108339,311316,13950255
255,1627108339,516383,14000256
256,1627108339,721479,14050257
257,1627108339,922856,14100258
258,1627108340,127298,14150259
259,1627108340,331669,14200260
260,1627108340,541378,14250261
261,1627108340,741935,14300262
262,1627108340,942048,14350263
263,1627108341,143238,14400264
264,1627108341,343373,14450265
265,1627108341,547300,14500266
266,1627108341,750945,14550267
267,1627108341,951173,14600268
268,1627108342,151739,14650269
269,1627108342,353855,14700270
270,1627108342,556087,14750271
271,1627108342,761040,14800272
272,1627108342,963692,14850273
273,1627108343,169256,14900274
274,1627108343,372114,14950275
275,1627108343,573728,15000276
276,1627108343,776531,15050277
277,1627108343,985772,15100278
278,1627108344,187490,15150279
279,1627108344,390167,15200280
280,1627108344,594825,15250281
281,1627108344,796877,15300282
282,1627108345,1704,15350283
283,1627108345,206457,15400284
284,1627108345,408636,15450285
285,1627108345,613014,15500286
286,1627108345,814618,15550287
287,1627108346,17047,15600288
288,1627108346,220957,15650289
289,1627108346,423503,15700290
290,1627108346,627368,15750291
291,1627108346,831597,15800292
292,1627108347,34611,15850293
293,1627108347,234978,15900294
294,1627108347,439961,15950295
295,1627108347,642985,16000296
296,1627108347,847997,16050297
297,1627108348,48425,16100298
298,1627108348,252700,16150299
299,1627108348,453129,16200300
300,1627108348,655403,16250301
301,1627108348,859851,16300302
302,1627108349,64787,16350303
303,1627108349,265591,16400304
304,1627108349,469060,16450305
305,1627108349,673679,16500306
306,1627108349,878092,16550307
307,1627108350,81129,16600308
308,1627108350,284359,16650309
309,1627108350,489010,16700310
310,1627108350,692704,16750311
311,1627108350,894766,16800312
312,1627108351,98245,16850313
313,1627108351,302156,16900314
314,1627108351,504659,16950315
315,1627108351,705359,17000316
316,1627108351,909877,17050317
317,1627108352,113960,17100318
318,1627108352,319072,17150319
319,1627108352,520834,17200320
320,1627108352,722739,17250321
321,1627108352,925037,17300322
322,1627108353,128819,17350323
323,1627108353,331011,17400324
324,1627108353,535350,17450325
325,1627108353,738066,17500326
326,1627108353,940414,17550327
327,1627108354,144039,17600328
328,1627108354,349626,17650329
329,1627108354,556396,17700330
330,1627108354,758522,17750331
331,1627108354,963200,17800332
332,1627108355,167684,17850333
333,1627108355,372306,17900334
334,1627108355,576964,17950335
335,1627108355,780200,18000336
336,1627108355,984894,18050337
337,1627108356,188300,18100338
338,1627108356,391590,18150339
339,1627108356,593922,18200340
340,1627108356,797867,18250341
341,1627108357,572,18300342
342,1627108357,205094,18350343
343,1627108357,406342,18400344
344,1627108357,610273,18450345
345,1627108357,814905,18500346
346,1627108358,19250,18550347
347,1627108358,221127,18600348
348,1627108358,424584,18650349
349,1627108358,625023,18700350
350,1627108358,829354,18750351
351,1627108359,32624,18800352
352,1627108359,237365,18850353
353,1627108359,440341,18900354
354,1627108359,642106,18950355
355,1627108359,846149,19000356
356,1627108360,48608,19050357
357,1627108360,248845,19100358
358,1627108360,451221,19150359
359,1627108360,656003,19200360
360,1627108360,858112,19250361
361,1627108361,58427,19300362
362,1627108361,258751,19350363
363,1627108361,463572,19400364
364,1627108361,667409,19450365
365,1627108361,871147,19500366
366,1627108362,73311,19550367
367,1627108362,277606,19600368
368,1627108362,481392,19650369
369,1627108362,683721,19700370
370,1627108362,885173,19750371
371,1627108363,90254,19800372
372,1627108363,294434,19850373
373,1627108363,500359,19900374
374,1627108363,710965,19950375
375,1627108363,914650,20000376
376,1627108364,121466,20050377
377,1627108364,321525,20100378
378,1627108364,525737,20150379
379,1627108364,726203,20200380
380,1627108364,931363,20250381
381,1627108365,133537,20300382
382,1627108365,336474,20350383
383,1627108365,540011,20400384
384,1627108365,741643,20450385
385,1627108365,942240,20500386
386,1627108366,146891,20550387
387,1627108366,371233,20600388
388,1627108366,574700,20650389
389,1627108366,779738,20700390
390,1627108366,981740,20750391
391,1627108367,192976,20800392
392,1627108367,393150,20850393
393,1627108367,593572,20900394
394,1627108367,793669,20950395
395,1627108367,997908,21000396
396,1627108368,202929,21050397
397,1627108368,407562,21100398
398,1627108368,611712,21150399
399,1627108368,815285,21200400
400,1627108369,16621,21250401
401,1627108369,220320,21300402
402,1627108369,424703,21350403
403,1627108369,626690,21400404
404,1627108369,831428,21450405
405,1627108370,32898,21500406
406,1627108370,233891,21550407
407,1627108370,434981,21600408
408,1627108370,636745,21650409
409,1627108370,839287,21700410
410,1627108371,43131,21750411
411,1627108371,247149,21800412
412,1627108371,450880,21850413
413,1627108371,666036,21900414
414,1627108371,869421,21950415
415,1627108372,79160,22000416
416,1627108372,281193,22050417
417,1627108372,484539,22100418
418,1627108372,688636,22150419
419,1627108372,895120,22200420
420,1627108373,98174,22250421
421,1627108373,301456,22300422
422,1627108373,506091,22350423
423,1627108373,709138,22400424
424,1627108373,913356,22450425
425,1627108374,116658,22500426
426,1627108374,320165,22550427
427,1627108374,523836,22600428
428,1627108374,727802,22650429
429,1627108374,932237,22700430
430,1627108375,134630,22750431
431,1627108375,334726,22800432
432,1627108375,535989,22850433
433,1627108375,737796,22900434
434,1627108375,942380,22950435
435,1627108376,145116,23000436
436,1627108376,349865,23050437
437,1627108376,554891,23100438
438,1627108376,759398,23150439
439,1627108376,964136,23200440
440,1627108377,168669,23250441
441,1627108377,370565,23300442
442,1627108377,571536,23350443
443,1627108377,774800,23400444
444,1627108377,981571,23450445
445,1627108378,183462,23500446
446,1627108378,385658,23550447
447,1627108378,589550,23600448
448,1627108378,789713,23650449
449,1627108378,992148,23700450
450,1627108379,192637,23750451
451,1627108379,397029,23800452
452,1627108379,599586,23850453
453,1627108379,803721,23900454
454,1627108380,6006,23950455
455,1627108380,211052,24000456
456,1627108380,415012,24050457
457,1627108380,620129,24100458
458,1627108380,825194,24150459
459,1627108381,27728,24200460
460,1627108381,231652,24250461
461,1627108381,433889,24300462
462,1627108381,634578,24350463
463,1627108381,836597,24400464
464,1627108382,40679,24450465
465,1627108382,240844,24500466
466,1627108382,443039,24550467
467,1627108382,647908,24600468
468,1627108382,852157,24650469
469,1627108383,53774,24700470
470,1627108383,256671,24750471
471,1627108383,457373,24800472
472,1627108383,658754,24850473
473,1627108383,862881,24900474
474,1627108384,68322,24950475
475,1627108384,271466,25000476
476,1627108384,475869,25050477
