counter,seconds,micro seconds,local clock [ns]
0,1627160403,187637,1100001
1,1627160403,393423,1150002
2,1627160403,594823,1200003
3,1627160403,794978,1250004
4,1627160403,996196,1300005
5,1627160404,197471,1350006
6,1627160404,401066,1400007
7,1627160404,603608,1450008
8,1627160404,803846,1500009
9,1627160405,8989,1550010
10,1627160405,214377,1600011
11,1627160405,418353,1650012
12,1627160405,620183,1700013
13,1627160405,823759,1750014
14,1627160406,27320,1800015
15,1627160406,227506,1850016
16,1627160406,431359,1900017
17,1627160406,632660,1950018
18,1627160406,836425,2000019
19,1627160407,41596,2050020
20,1627160407,246832,2100021
21,1627160407,451979,2150022
22,1627160407,657142,2200023
23,1627160407,857213,2250024
24,1627160408,59490,2300025
25,1627160408,259686,2350026
26,1627160408,463056,2400027
27,1627160408,668230,2450028
28,1627160408,869645,2500029
29,1627160409,75037,2550030
30,1627160409,275329,2600031
31,1627160409,476367,2650032
32,1627160409,676470,2700033
33,1627160409,876839,2750034
34,1627160410,82037,2800035
35,1627160410,282351,2850036
36,1627160410,502765,2900037
37,1627160410,705527,2950038
38,1627160410,906229,3000039
39,1627160411,109619,3050040
40,1627160411,313841,3100041
41,1627160411,518732,3150042
42,1627160411,721961,3200043
43,1627160411,927030,3250044
44,1627160412,130911,3300045
45,1627160412,332966,3350046
46,1627160412,538195,3400047
47,1627160412,739509,3450048
48,1627160412,940545,3500049
49,1627160413,143274,3550050
50,1627160413,348195,3600051
51,1627160413,553350,3650052
52,1627160413,756692,3700053
53,1627160413,957944,3750054
54,1627160414,159192,3800055
55,1627160414,361363,3850056
56,1627160414,566506,3900057
57,1627160414,766899,3950058
58,1627160414,967741,4000059
59,1627160415,172775,4050060
60,1627160415,374357,4100061
61,1627160415,577303,4150062
62,1627160415,777599,4200063
63,1627160415,982733,4250064
64,1627160416,184737,4300065
65,1627160416,389903,4350066
66,1627160416,595189,4400067
67,1627160416,799801,4450068
68,1627160417,4998,4500069
69,1627160417,208383,4550070
70,1627160417,409845,4600071
71,1627160417,615014,4650072
72,1627160417,816878,4700073
73,1627160418,17000,4750074
74,1627160418,220526,4800075
75,1627160418,425646,4850076
76,1627160418,630733,4900077
77,1627160418,831020,4950078
78,1627160419,31136,5000079
79,1627160419,233325,5050080
80,1627160419,435413,5100081
81,1627160419,635647,5150082
82,1627160419,840835,5200083
83,1627160420,43274,5250084
84,1627160420,247654,5300085
85,1627160420,451652,5350086
86,1627160420,655852,5400087
87,1627160420,860726,5450088
88,1627160421,64041,5500089
89,1627160421,265214,5550090
90,1627160421,468230,5600091
91,1627160421,668407,5650092
92,1627160421,873172,5700093
93,1627160422,75477,5750094
94,1627160422,279898,5800095
95,1627160422,481749,5850096
96,1627160422,682395,5900097
97,1627160422,883599,5950098
98,1627160423,87943,6000099
99,1627160423,291057,6050100
100,1627160423,493130,6100101
101,1627160423,693461,6150102
102,1627160423,894321,6200103
103,1627160424,95499,6250104
104,1627160424,299767,6300105
105,1627160424,504229,6350106
106,1627160424,707957,6400107
107,1627160424,912705,6450108
108,1627160425,113435,6500109
109,1627160425,317612,6550110
110,1627160425,517756,6600111
111,1627160425,720857,6650112
112,1627160425,926047,6700113
113,1627160426,129958,6750114
114,1627160426,332661,6800115
115,1627160426,537171,6850116
116,1627160426,738446,6900117
117,1627160426,941835,6950118
118,1627160427,142561,7000119
119,1627160427,346248,7050120
120,1627160427,547040,7100121
121,1627160427,750700,7150122
122,1627160427,953466,7200123
123,1627160428,160793,7250124
124,1627160428,364098,7300125
