counter,seconds,micro seconds,local clock [ns]
0,1627160406,27351,1800003
1,1627160406,227510,1850004
2,1627160406,431370,1900005
3,1627160406,632675,1950006
4,1627160406,836407,2000007
5,1627160407,41628,2050008
6,1627160407,246804,2100009
7,1627160407,451966,2150010
8,1627160407,657125,2200011
9,1627160407,857244,2250012
10,1627160408,59524,2300013
11,1627160408,259689,2350014
12,1627160408,463056,2400015
13,1627160408,668248,2450016
14,1627160408,869673,2500017
15,1627160409,75085,2550018
16,1627160409,275327,2600019
17,1627160409,476352,2650020
18,1627160409,676479,2700021
19,1627160409,876840,2750022
20,1627160410,82011,2800023
21,1627160410,282352,2850024
22,1627160410,502785,2900025
23,1627160410,705593,2950026
24,1627160410,906214,3000027
25,1627160411,109577,3050028
26,1627160411,313841,3100029
27,1627160411,518761,3150030
28,1627160411,721983,3200031
29,1627160411,927082,3250032
30,1627160412,130895,3300033
31,1627160412,333007,3350034
32,1627160412,538235,3400035
33,1627160412,739557,3450036
34,1627160412,940543,3500037
35,1627160413,143267,3550038
36,1627160413,348174,3600039
37,1627160413,553325,3650040
38,1627160413,756673,3700041
39,1627160413,957943,3750042
40,1627160414,159180,3800043
41,1627160414,361311,3850044
42,1627160414,566519,3900045
43,1627160414,766883,3950046
44,1627160414,967756,4000047
45,1627160415,172780,4050048
46,1627160415,374392,4100049
47,1627160415,577335,4150050
48,1627160415,777581,4200051
49,1627160415,982702,4250052
50,1627160416,184693,4300053
51,1627160416,389882,4350054
52,1627160416,595117,4400055
53,1627160416,799752,4450056
54,1627160417,5008,4500057
55,1627160417,208381,4550058
56,1627160417,409849,4600059
57,1627160417,615029,4650060
58,1627160417,816881,4700061
59,1627160418,17027,4750062
60,1627160418,220526,4800063
61,1627160418,425661,4850064
62,1627160418,630814,4900065
63,1627160418,831045,4950066
64,1627160419,31148,5000067
65,1627160419,233341,5050068
66,1627160419,435423,5100069
67,1627160419,635690,5150070
68,1627160419,840860,5200071
69,1627160420,43296,5250072
70,1627160420,247701,5300073
71,1627160420,451746,5350074
72,1627160420,655916,5400075
73,1627160420,860807,5450076
74,1627160421,64025,5500077
75,1627160421,265183,5550078
76,1627160421,468260,5600079
77,1627160421,668389,5650080
78,1627160421,873174,5700081
