counter,seconds,micro seconds,local clock [us]
0,1627107561,235597,1750002
1,1627107561,440047,1800003
2,1627107561,644414,1850004
3,1627107561,846951,1900005
4,1627107562,48723,1950006
5,1627107562,252537,2000007
6,1627107562,457609,2050008
7,1627107562,660621,2100009
8,1627107562,863863,2150010
9,1627107563,66396,2200011
10,1627107563,268422,2250012
11,1627107563,472188,2300013
12,1627107563,676785,2350014
13,1627107563,880938,2400015
14,1627107564,82738,2450016
15,1627107564,286018,2500017
16,1627107564,488962,2550018
17,1627107564,693734,2600019
18,1627107564,897486,2650020
19,1627107565,101647,2700021
20,1627107565,302612,2750022
21,1627107565,503740,2800023
22,1627107565,705430,2850024
23,1627107565,907164,2900025
24,1627107566,108902,2950026
25,1627107566,313318,3000027
26,1627107566,517990,3050028
27,1627107566,722563,3100029
28,1627107566,925266,3150030
29,1627107567,129373,3200031
30,1627107567,331018,3250032
31,1627107567,534417,3300033
32,1627107567,735753,3350034
33,1627107567,943348,3400035
34,1627107568,148500,3450036
35,1627107568,352477,3500037
36,1627107568,553404,3550038
37,1627107568,756405,3600039
38,1627107568,959064,3650040
39,1627107569,181796,3700041
40,1627107569,383921,3750042
41,1627107569,588088,3800043
42,1627107569,788294,3850044
43,1627107569,997650,3900045
44,1627107570,198336,3950046
45,1627107570,400959,4000047
46,1627107570,604687,4050048
47,1627107570,807471,4100049
48,1627107571,11105,4150050
49,1627107571,214166,4200051
50,1627107571,418482,4250052
51,1627107571,621707,4300053
52,1627107571,823736,4350054
53,1627107572,26555,4400055
54,1627107572,231327,4450056
55,1627107572,432192,4500057
56,1627107572,632737,4550058
57,1627107572,834123,4600059
58,1627107573,35277,4650060
59,1627107573,240274,4700061
60,1627107573,440795,4750062
61,1627107573,645157,4800063
62,1627107573,847244,4850064
63,1627107574,49229,4900065
64,1627107574,249528,4950066
65,1627107574,454643,5000067
66,1627107574,666598,5050068
67,1627107574,869405,5100069
68,1627107575,71606,5150070
69,1627107575,275707,5200071
70,1627107575,480445,5250072
71,1627107575,683801,5300073
72,1627107575,887229,5350074
73,1627107576,91146,5400075
74,1627107576,293698,5450076
75,1627107576,498684,5500077
76,1627107576,700641,5550078
77,1627107576,901441,5600079
78,1627107577,106450,5650080
79,1627107577,311097,5700081
80,1627107577,513358,5750082
81,1627107577,715256,5800083
82,1627107577,919086,5850084
83,1627107578,120123,5900085
84,1627107578,323849,5950086
85,1627107578,525435,6000087
86,1627107578,729455,6050088
87,1627107578,933604,6100089
88,1627107579,138145,6150090
89,1627107579,339371,6200091
90,1627107579,544538,6250092
91,1627107579,747541,6300093
92,1627107579,951563,6350094
93,1627107580,154413,6400095
94,1627107580,357196,6450096
95,1627107580,561895,6500097
96,1627107580,763617,6550098
97,1627107580,963769,6600099
98,1627107581,167751,6650100
99,1627107581,371526,6700101
100,1627107581,571620,6750102
101,1627107581,776489,6800103
102,1627107581,981385,6850104
103,1627107582,186558,6900105
104,1627107582,390302,6950106
105,1627107582,591692,7000107
106,1627107582,795461,7050108
107,1627107582,998120,7100109
108,1627107583,201547,7150110
109,1627107583,405746,7200111
110,1627107583,608407,7250112
111,1627107583,812977,7300113
112,1627107584,14893,7350114
113,1627107584,217083,7400115
114,1627107584,421469,7450116
115,1627107584,625317,7500117
116,1627107584,830082,7550118
117,1627107585,30708,7600119
118,1627107585,235823,7650120
119,1627107585,439887,7700121
120,1627107585,643299,7750122
121,1627107585,847744,7800123
122,1627107586,50585,7850124
123,1627107586,255103,7900125
124,1627107586,455426,7950126
125,1627107586,658327,8000127
126,1627107586,859625,8050128
127,1627107587,64624,8100129
128,1627107587,267539,8150130
129,1627107587,472353,8200131
130,1627107587,674064,8250132
131,1627107587,876097,8300133
132,1627107588,81126,8350134
133,1627107588,284471,8400135
134,1627107588,486836,8450136
135,1627107588,690662,8500137
136,1627107588,895617,8550138
137,1627107589,99359,8600139
138,1627107589,303125,8650140
139,1627107589,507684,8700141
140,1627107589,710835,8750142
141,1627107589,914452,8800143
142,1627107590,117180,8850144
143,1627107590,318480,8900145
144,1627107590,521119,8950146
145,1627107590,725325,9000147
146,1627107590,926678,9050148
147,1627107591,131101,9100149
148,1627107591,334638,9150150
149,1627107591,537526,9200151
150,1627107591,742147,9250152
151,1627107591,946345,9300153
152,1627107592,147572,9350154
153,1627107592,350997,9400155
154,1627107592,554467,9450156
155,1627107592,758612,9500157
156,1627107592,961447,9550158
157,1627107593,165625,9600159
158,1627107593,370192,9650160
159,1627107593,571770,9700161
160,1627107593,776832,9750162
161,1627107593,980947,9800163
162,1627107594,184986,9850164
163,1627107594,386232,9900165
164,1627107594,591040,9950166
165,1627107594,793978,10000167
166,1627107594,997807,10050168
167,1627107595,201317,10100169
168,1627107595,403779,10150170
169,1627107595,606430,10200171
170,1627107595,809976,10250172
171,1627107596,14186,10300173
172,1627107596,217687,10350174
173,1627107596,418322,10400175
174,1627107596,622764,10450176
175,1627107596,827549,10500177
176,1627107597,31047,10550178
177,1627107597,234712,10600179
178,1627107597,437150,10650180
179,1627107597,640094,10700181
180,1627107597,844882,10750182
181,1627107598,48288,10800183
182,1627107598,253395,10850184
183,1627107598,458561,10900185
184,1627107598,661366,10950186
185,1627107598,863779,11000187
186,1627107599,65221,11050188
187,1627107599,269857,11100189
188,1627107599,474505,11150190
189,1627107599,678595,11200191
190,1627107599,883013,11250192
191,1627107600,85913,11300193
192,1627107600,286122,11350194
193,1627107600,488879,11400195
194,1627107600,691459,11450196
195,1627107600,895080,11500197
196,1627107601,96367,11550198
197,1627107601,297426,11600199
198,1627107601,500555,11650200
199,1627107601,704663,11700201
200,1627107601,909115,11750202
201,1627107602,114194,11800203
202,1627107602,317069,11850204
203,1627107602,517112,11900205
204,1627107602,717935,11950206
205,1627107602,921190,12000207
206,1627107603,124282,12050208
207,1627107603,328134,12100209
208,1627107603,532497,12150210
209,1627107603,733501,12200211
210,1627107603,937081,12250212
211,1627107604,138239,12300213
212,1627107604,340758,12350214
213,1627107604,544846,12400215
214,1627107604,752727,12450216
215,1627107604,957086,12500217
216,1627107605,159386,12550218
217,1627107605,363558,12600219
218,1627107605,567024,12650220
219,1627107605,771317,12700221
220,1627107605,973555,12750222
221,1627107606,177609,12800223
222,1627107606,380239,12850224
223,1627107606,584280,12900225
224,1627107606,789443,12950226
225,1627107606,994779,13000227
226,1627107607,197231,13050228
227,1627107607,399752,13100229
228,1627107607,603795,13150230
229,1627107607,808102,13200231
230,1627107608,12128,13250232
231,1627107608,215316,13300233
232,1627107608,415692,13350234
233,1627107608,619011,13400235
234,1627107608,821656,13450236
235,1627107609,26690,13500237
236,1627107609,231270,13550238
237,1627107609,432792,13600239
238,1627107609,637487,13650240
239,1627107609,838328,13700241
240,1627107610,40209,13750242
241,1627107610,243822,13800243
242,1627107610,447767,13850244
243,1627107610,651844,13900245
244,1627107610,856630,13950246
245,1627107611,58273,14000247
246,1627107611,262405,14050248
247,1627107611,463407,14100249
248,1627107611,665465,14150250
249,1627107611,868701,14200251
250,1627107612,72845,14250252
251,1627107612,275154,14300253
252,1627107612,479491,14350254
253,1627107612,684405,14400255
254,1627107612,886807,14450256
255,1627107613,90324,14500257
256,1627107613,291447,14550258
257,1627107613,493665,14600259
258,1627107613,697717,14650260
259,1627107613,902530,14700261
260,1627107614,107371,14750262
261,1627107614,311311,14800263
262,1627107614,513679,14850264
263,1627107614,717089,14900265
264,1627107614,918247,14950266
265,1627107615,120147,15000267
266,1627107615,322358,15050268
267,1627107615,525012,15100269
268,1627107615,727883,15150270
269,1627107615,931597,15200271
270,1627107616,136279,15250272
271,1627107616,341337,15300273
272,1627107616,545427,15350274
273,1627107616,747699,15400275
274,1627107616,952880,15450276
275,1627107617,154756,15500277
276,1627107617,358374,15550278
277,1627107617,562758,15600279
278,1627107617,764593,15650280
279,1627107617,969099,15700281
280,1627107618,172825,15750282
281,1627107618,375903,15800283
282,1627107618,580722,15850284
283,1627107618,785649,15900285
284,1627107618,988347,15950286
285,1627107619,192507,16000287
286,1627107619,397577,16050288
287,1627107619,600288,16100289
288,1627107619,800382,16150290
289,1627107620,5289,16200291
290,1627107620,208315,16250292
291,1627107620,412991,16300293
292,1627107620,613185,16350294
293,1627107620,817911,16400295
294,1627107621,20972,16450296
295,1627107621,224473,16500297
296,1627107621,426344,16550298
297,1627107621,630729,16600299
298,1627107621,832248,16650300
299,1627107622,36997,16700301
300,1627107622,238401,16750302
301,1627107622,443564,16800303
302,1627107622,647951,16850304
303,1627107622,852332,16900305
304,1627107623,53246,16950306
305,1627107623,257115,17000307
306,1627107623,458596,17050308
307,1627107623,662955,17100309
308,1627107623,865408,17150310
309,1627107624,68791,17200311
310,1627107624,269505,17250312
311,1627107624,473392,17300313
312,1627107624,673683,17350314
313,1627107624,874848,17400315
314,1627107625,78723,17450316
315,1627107625,280804,17500317
316,1627107625,485065,17550318
317,1627107625,687460,17600319
318,1627107625,891498,17650320
319,1627107626,94315,17700321
320,1627107626,298283,17750322
321,1627107626,500446,17800323
322,1627107626,703577,17850324
323,1627107626,907998,17900325
324,1627107627,110630,17950326
325,1627107627,314407,18000327
326,1627107627,516831,18050328
327,1627107627,718115,18100329
328,1627107627,922408,18150330
329,1627107628,124482,18200331
330,1627107628,326480,18250332
331,1627107628,530408,18300333
332,1627107628,732916,18350334
333,1627107628,938430,18400335
334,1627107629,142285,18450336
335,1627107629,346426,18500337
336,1627107629,550638,18550338
337,1627107629,754772,18600339
338,1627107629,959230,18650340
339,1627107630,163854,18700341
340,1627107630,364269,18750342
341,1627107630,565421,18800343
342,1627107630,769030,18850344
343,1627107630,971951,18900345
344,1627107631,174092,18950346
345,1627107631,377308,19000347
346,1627107631,580550,19050348
347,1627107631,781219,19100349
348,1627107631,983952,19150350
349,1627107632,184782,19200351
350,1627107632,389952,19250352
351,1627107632,594454,19300353
352,1627107632,799396,19350354
353,1627107633,2116,19400355
354,1627107633,205864,19450356
355,1627107633,408757,19500357
356,1627107633,613881,19550358
357,1627107633,814144,19600359
358,1627107634,18466,19650360
359,1627107634,220501,19700361
360,1627107634,424844,19750362
361,1627107634,628932,19800363
362,1627107634,831855,19850364
363,1627107635,32025,19900365
364,1627107635,234507,19950366
365,1627107635,439035,20000367
366,1627107635,643380,20050368
367,1627107635,846204,20100369
368,1627107636,49081,20150370
369,1627107636,249802,20200371
370,1627107636,453523,20250372
371,1627107636,653964,20300373
372,1627107636,857105,20350374
373,1627107637,60201,20400375
374,1627107637,263827,20450376
375,1627107637,468723,20500377
376,1627107637,670755,20550378
377,1627107637,875075,20600379
378,1627107638,75462,20650380
379,1627107638,279566,20700381
