counter,seconds,micro seconds,local clock [us]
0,1627107554,324966,50000
1,1627107554,527899,100000
2,1627107554,730623,150000
3,1627107554,933189,200000
4,1627107555,135336,250000
5,1627107555,337645,300000
6,1627107555,542183,350000
7,1627107555,744066,400000
8,1627107555,948765,450000
9,1627107556,150591,500000
10,1627107556,352598,550000
11,1627107556,556646,600000
12,1627107556,756802,650000
13,1627107556,958395,700000
14,1627107557,162729,750000
15,1627107557,366683,800000
16,1627107557,570292,850000
17,1627107557,774928,900000
18,1627107557,979073,950000
19,1627107558,183738,1000000
20,1627107558,384622,1050000
21,1627107558,588413,1100000
22,1627107558,792197,1150000
23,1627107558,996771,1200000
24,1627107559,200960,1250000
25,1627107559,405492,1300000
26,1627107559,610141,1350000
27,1627107559,813349,1400000
28,1627107560,16422,1450000
29,1627107560,219276,1500000
30,1627107560,422943,1550000
31,1627107560,623937,1600000
32,1627107560,826097,1650000
33,1627107561,31714,1700000
34,1627107561,235519,1750000
35,1627107561,440047,1800000
36,1627107561,644414,1850000
37,1627107561,847057,1900000
38,1627107562,48721,1950000
39,1627107562,252545,2000000
40,1627107562,457614,2050000
41,1627107562,660603,2100000
42,1627107562,863831,2150000
43,1627107563,66385,2200000
44,1627107563,268405,2250000
45,1627107563,472168,2300000
46,1627107563,676785,2350000
47,1627107563,880937,2400000
48,1627107564,82723,2450000
49,1627107564,285984,2500000
50,1627107564,488953,2550000
51,1627107564,693726,2600000
52,1627107564,897475,2650000
53,1627107565,101619,2700000
54,1627107565,302604,2750000
55,1627107565,503733,2800000
56,1627107565,705467,2850000
57,1627107565,907140,2900000
58,1627107566,108870,2950000
59,1627107566,313327,3000000
60,1627107566,517980,3050000
61,1627107566,722789,3100000
62,1627107566,925167,3150000
63,1627107567,129336,3200000
64,1627107567,330992,3250000
65,1627107567,534431,3300000
66,1627107567,735782,3350000
67,1627107567,943368,3400000
68,1627107568,148493,3450000
69,1627107568,352467,3500000
70,1627107568,553396,3550000
71,1627107568,756406,3600000
72,1627107568,959061,3650000
73,1627107569,181778,3700000
74,1627107569,383931,3750000
75,1627107569,588483,3800000
76,1627107569,789748,3850000
77,1627107569,997665,3900000
78,1627107570,198261,3950000
79,1627107570,400941,4000000
80,1627107570,604641,4050000
81,1627107570,807471,4100000
82,1627107571,11093,4150000
83,1627107571,213960,4200000
84,1627107571,418257,4250000
85,1627107571,621721,4300000
86,1627107571,823752,4350000
87,1627107572,26573,4400000
88,1627107572,231315,4450000
89,1627107572,432203,4500000
90,1627107572,632726,4550000
91,1627107572,834115,4600000
92,1627107573,35272,4650000
93,1627107573,240242,4700000
94,1627107573,440773,4750000
95,1627107573,645129,4800000
96,1627107573,847223,4850000
97,1627107574,49216,4900000
98,1627107574,249515,4950000
99,1627107574,454451,5000000
100,1627107574,655042,5050000
101,1627107574,859069,5100000
102,1627107575,61393,5150000
103,1627107575,264000,5200000
104,1627107575,468214,5250000
105,1627107575,668387,5300000
106,1627107575,868980,5350000
107,1627107576,73086,5400000
108,1627107576,277677,5450000
109,1627107576,481136,5500000
110,1627107576,685067,5550000
111,1627107576,887067,5600000
112,1627107577,89481,5650000
113,1627107577,292102,5700000
114,1627107577,496907,5750000
115,1627107577,700677,5800000
116,1627107577,905458,5850000
117,1627107578,105642,5900000
118,1627107578,308454,5950000
119,1627107578,513691,6000000
120,1627107578,718553,6050000
121,1627107578,921201,6100000
122,1627107579,125818,6150000
123,1627107579,329463,6200000
124,1627107579,530915,6250000
125,1627107579,732955,6300000
126,1627107579,937577,6350000
127,1627107580,138485,6400000
128,1627107580,343131,6450000
129,1627107580,547308,6500000
130,1627107580,751827,6550000
131,1627107580,955976,6600000
132,1627107581,158245,6650000
133,1627107581,360814,6700000
134,1627107581,565508,6750000
135,1627107581,766407,6800000
136,1627107581,970865,6850000
137,1627107582,174496,6900000
138,1627107582,377284,6950000
139,1627107582,581140,7000000
140,1627107582,788952,7050000
141,1627107582,992645,7100000
142,1627107583,196831,7150000
143,1627107583,399725,7200000
144,1627107583,602588,7250000
145,1627107583,806959,7300000
146,1627107584,8168,7350000
147,1627107584,211671,7400000
148,1627107584,412325,7450000
149,1627107584,614583,7500000
150,1627107584,817609,7550000
151,1627107585,19544,7600000
152,1627107585,221735,7650000
153,1627107585,422102,7700000
154,1627107585,624327,7750000
155,1627107585,828949,7800000
156,1627107586,29804,7850000
157,1627107586,233663,7900000
158,1627107586,435387,7950000
159,1627107586,638140,8000000
160,1627107586,839264,8050000
161,1627107587,39790,8100000
162,1627107587,243237,8150000
163,1627107587,447402,8200000
164,1627107587,650409,8250000
165,1627107587,855053,8300000
166,1627107588,59426,8350000
167,1627107588,263572,8400000
168,1627107588,467773,8450000
169,1627107588,669944,8500000
170,1627107588,872923,8550000
171,1627107589,73857,8600000
172,1627107589,275669,8650000
173,1627107589,483408,8700000
174,1627107589,685114,8750000
175,1627107589,888985,8800000
176,1627107590,93409,8850000
177,1627107590,296935,8900000
178,1627107590,501316,8950000
179,1627107590,705260,9000000
180,1627107590,909917,9050000
181,1627107591,112125,9100000
182,1627107591,316920,9150000
183,1627107591,517358,9200000
184,1627107591,720682,9250000
185,1627107591,925209,9300000
186,1627107592,129730,9350000
187,1627107592,332681,9400000
188,1627107592,533393,9450000
189,1627107592,733630,9500000
190,1627107592,937681,9550000
191,1627107593,142312,9600000
192,1627107593,346107,9650000
193,1627107593,546734,9700000
194,1627107593,747825,9750000
195,1627107593,952507,9800000
196,1627107594,155610,9850000
197,1627107594,360128,9900000
198,1627107594,564531,9950000
199,1627107594,768736,10000000
200,1627107594,970037,10050000
201,1627107595,171485,10100000
202,1627107595,375540,10150000
203,1627107595,579462,10200000
204,1627107595,784233,10250000
205,1627107595,984584,10300000
206,1627107596,187643,10350000
207,1627107596,390827,10400000
208,1627107596,596055,10450000
209,1627107596,796976,10500000
210,1627107596,998794,10550000
211,1627107597,203246,10600000
212,1627107597,403696,10650000
213,1627107597,608653,10700000
214,1627107597,811751,10750000
215,1627107598,14168,10800000
216,1627107598,218548,10850000
217,1627107598,422368,10900000
218,1627107598,624801,10950000
219,1627107598,828404,11000000
220,1627107599,30617,11050000
221,1627107599,235117,11100000
222,1627107599,437995,11150000
223,1627107599,640412,11200000
224,1627107599,844298,11250000
225,1627107600,47635,11300000
226,1627107600,251720,11350000
227,1627107600,454359,11400000
228,1627107600,654677,11450000
229,1627107600,855803,11500000
230,1627107601,60099,11550000
231,1627107601,263465,11600000
232,1627107601,464094,11650000
233,1627107601,665358,11700000
234,1627107601,870414,11750000
235,1627107602,70659,11800000
236,1627107602,274369,11850000
237,1627107602,477232,11900000
238,1627107602,680546,11950000
239,1627107602,885261,12000000
240,1627107603,85397,12050000
241,1627107603,289268,12100000
242,1627107603,492370,12150000
243,1627107603,696680,12200000
244,1627107603,900384,12250000
245,1627107604,105126,12300000
246,1627107604,313281,12350000
247,1627107604,517778,12400000
248,1627107604,718423,12450000
249,1627107604,918464,12500000
250,1627107605,123428,12550000
251,1627107605,324943,12600000
252,1627107605,527618,12650000
253,1627107605,731549,12700000
254,1627107605,933934,12750000
255,1627107606,134995,12800000
256,1627107606,338671,12850000
257,1627107606,542560,12900000
258,1627107606,746823,12950000
259,1627107606,947586,13000000
260,1627107607,148083,13050000
261,1627107607,348336,13100000
262,1627107607,551072,13150000
263,1627107607,753732,13200000
264,1627107607,956672,13250000
265,1627107608,160080,13300000
266,1627107608,364412,13350000
267,1627107608,569340,13400000
268,1627107608,770171,13450000
269,1627107608,972182,13500000
270,1627107609,175523,13550000
271,1627107609,379576,13600000
272,1627107609,580412,13650000
273,1627107609,784462,13700000
274,1627107609,987444,13750000
275,1627107610,190546,13800000
276,1627107610,393634,13850000
277,1627107610,597645,13900000
278,1627107610,798515,13950000
279,1627107611,2550,14000000
280,1627107611,204966,14050000
281,1627107611,405400,14100000
282,1627107611,607257,14150000
283,1627107611,810902,14200000
284,1627107612,14729,14250000
285,1627107612,219783,14300000
286,1627107612,424415,14350000
287,1627107612,629039,14400000
288,1627107612,833469,14450000
289,1627107613,37525,14500000
290,1627107613,239116,14550000
291,1627107613,440157,14600000
292,1627107613,645524,14650000
293,1627107613,848132,14700000
294,1627107614,53224,14750000
295,1627107614,258332,14800000
296,1627107614,462707,14850000
297,1627107614,664919,14900000
298,1627107614,865860,14950000
299,1627107615,70992,15000000
300,1627107615,274030,15050000
301,1627107615,477554,15100000
302,1627107615,681681,15150000
303,1627107615,884075,15200000
304,1627107616,85313,15250000
305,1627107616,289980,15300000
306,1627107616,490422,15350000
307,1627107616,694356,15400000
308,1627107616,897319,15450000
309,1627107617,97486,15500000
310,1627107617,300131,15550000
311,1627107617,504045,15600000
312,1627107617,707123,15650000
313,1627107617,911874,15700000
314,1627107618,115133,15750000
315,1627107618,317173,15800000
316,1627107618,519989,15850000
317,1627107618,723000,15900000
318,1627107618,927544,15950000
319,1627107619,131855,16000000
320,1627107619,336010,16050000
321,1627107619,540797,16100000
322,1627107619,741658,16150000
323,1627107619,944799,16200000
324,1627107620,148932,16250000
325,1627107620,353473,16300000
326,1627107620,557771,16350000
327,1627107620,762240,16400000
328,1627107620,964419,16450000
329,1627107621,166171,16500000
330,1627107621,367613,16550000
331,1627107621,569443,16600000
332,1627107621,773269,16650000
333,1627107621,977025,16700000
334,1627107622,179886,16750000
335,1627107622,380886,16800000
336,1627107622,582930,16850000
337,1627107622,786046,16900000
338,1627107622,989026,16950000
339,1627107623,190809,17000000
340,1627107623,395351,17050000
341,1627107623,598337,17100000
342,1627107623,801836,17150000
343,1627107624,6623,17200000
344,1627107624,207093,17250000
345,1627107624,407249,17300000
346,1627107624,609299,17350000
347,1627107624,813058,17400000
348,1627107625,17825,17450000
349,1627107625,222334,17500000
350,1627107625,424566,17550000
351,1627107625,626612,17600000
352,1627107625,830808,17650000
353,1627107626,31957,17700000
354,1627107626,232094,17750000
355,1627107626,437040,17800000
356,1627107626,642123,17850000
357,1627107626,846786,17900000
358,1627107627,46952,17950000
359,1627107627,249950,18000000
360,1627107627,451925,18050000
361,1627107627,652024,18100000
362,1627107627,855140,18150000
363,1627107628,59226,18200000
364,1627107628,264071,18250000
365,1627107628,468953,18300000
366,1627107628,670585,18350000
367,1627107628,875231,18400000
368,1627107629,78588,18450000
369,1627107629,283064,18500000
370,1627107629,487207,18550000
371,1627107629,687998,18600000
372,1627107629,889424,18650000
373,1627107630,94241,18700000
374,1627107630,296155,18750000
375,1627107630,499057,18800000
376,1627107630,703534,18850000
377,1627107630,907162,18900000
378,1627107631,111866,18950000
379,1627107631,315010,19000000
380,1627107631,515169,19050000
381,1627107631,719804,19100000
382,1627107631,919964,19150000
383,1627107632,121422,19200000
384,1627107632,323603,19250000
385,1627107632,527926,19300000
386,1627107632,730721,19350000
387,1627107632,931133,19400000
388,1627107633,136042,19450000
389,1627107633,339449,19500000
390,1627107633,542380,19550000
391,1627107633,746170,19600000
392,1627107633,948255,19650000
393,1627107634,152657,19700000
394,1627107634,355193,19750000
395,1627107634,558188,19800000
396,1627107634,761601,19850000
397,1627107634,963519,19900000
398,1627107635,167788,19950000
399,1627107635,372428,20000000
400,1627107635,576235,20050000
401,1627107635,781152,20100000
402,1627107635,982510,20150000
403,1627107636,185913,20200000
404,1627107636,389078,20250000
405,1627107636,593857,20300000
406,1627107636,797785,20350000
407,1627107637,2284,20400000
408,1627107637,206604,20450000
409,1627107637,408629,20500000
410,1627107637,612886,20550000
411,1627107637,817242,20600000
412,1627107638,22258,20650000
413,1627107638,225863,20700000
414,1627107638,429532,20750000
415,1627107638,629835,20800000
416,1627107638,832490,20850000
417,1627107639,36588,20900000
418,1627107639,239418,20950000
419,1627107639,444237,21000000
420,1627107639,646467,21050000
421,1627107639,847090,21100000
422,1627107640,47866,21150000
423,1627107640,253045,21200000
424,1627107640,454241,21250000
425,1627107640,659383,21300000
426,1627107640,863576,21350000
427,1627107641,68120,21400000
428,1627107641,271948,21450000
429,1627107641,472063,21500000
430,1627107641,673840,21550000
431,1627107641,878500,21600000
432,1627107642,80835,21650000
433,1627107642,286002,21700000
434,1627107642,486213,21750000
435,1627107642,691156,21800000
436,1627107642,895011,21850000
437,1627107643,97526,21900000
438,1627107643,299085,21950000
439,1627107643,503779,22000000
440,1627107643,704741,22050000
441,1627107643,907196,22100000
442,1627107644,110532,22150000
443,1627107644,314228,22200000
444,1627107644,518071,22250000
445,1627107644,719701,22300000
446,1627107644,920356,22350000
447,1627107645,121126,22400000
448,1627107645,321404,22450000
449,1627107645,524005,22500000
450,1627107645,728776,22550000
451,1627107645,931376,22600000
452,1627107646,136304,22650000
453,1627107646,339659,22700000
454,1627107646,542292,22750000
455,1627107646,745755,22800000
456,1627107646,945826,22850000
457,1627107647,148596,22900000
458,1627107647,349294,22950000
459,1627107647,550194,23000000
460,1627107647,751971,23050000
461,1627107647,954788,23100000
462,1627107648,164577,23150000
463,1627107648,369230,23200000
464,1627107648,571968,23250000
465,1627107648,776779,23300000
466,1627107648,980662,23350000
467,1627107649,184823,23400000
468,1627107649,389340,23450000
469,1627107649,594472,23500000
470,1627107649,796853,23550000
471,1627107649,998130,23600000
472,1627107650,202790,23650000
473,1627107650,405233,23700000
474,1627107650,609116,23750000
475,1627107650,810001,23800000
476,1627107651,12940,23850000
477,1627107651,214843,23900000
478,1627107651,419343,23950000
479,1627107651,620122,24000000
480,1627107651,827913,24050000
481,1627107652,29956,24100000
482,1627107652,237056,24150000
483,1627107652,438460,24200000
484,1627107652,639432,24250000
485,1627107652,842873,24300000
486,1627107653,47089,24350000
487,1627107653,248515,24400000
488,1627107653,453577,24450000
489,1627107653,653843,24500000
490,1627107653,854274,24550000
491,1627107654,57347,24600000
492,1627107654,260347,24650000
493,1627107654,463790,24700000
494,1627107654,664452,24750000
495,1627107654,869257,24800000
496,1627107655,71463,24850000
497,1627107655,276315,24900000
498,1627107655,480131,24950000
499,1627107655,684397,25000000
500,1627107655,888575,25050000
501,1627107656,89161,25100000
502,1627107656,290668,25150000
503,1627107656,495288,25200000
504,1627107656,701824,25250000
505,1627107656,905387,25300000
506,1627107657,107220,25350000
507,1627107657,308793,25400000
508,1627107657,511131,25450000
509,1627107657,714549,25500000
510,1627107657,933067,25550000
511,1627107658,134127,25600000
512,1627107658,335251,25650000
513,1627107658,539041,25700000
514,1627107658,740490,25750000
515,1627107658,945202,25800000
516,1627107659,148767,25850000
517,1627107659,352043,25900000
518,1627107659,556554,25950000
519,1627107659,760498,26000000
520,1627107659,964713,26050000
521,1627107660,170546,26100000
522,1627107660,370927,26150000
523,1627107660,575117,26200000
524,1627107660,779475,26250000
525,1627107660,984456,26300000
526,1627107661,189056,26350000
527,1627107661,390835,26400000
528,1627107661,594019,26450000
529,1627107661,797032,26500000
