counter,seconds,micro seconds,local clock [us]
0,1627107559,813438,1400001
1,1627107560,16422,1450002
2,1627107560,219262,1500003
3,1627107560,422962,1550004
4,1627107560,623937,1600005
5,1627107560,826107,1650006
6,1627107561,31742,1700007
7,1627107561,235481,1750008
8,1627107561,440047,1800009
9,1627107561,644701,1850010
10,1627107561,847696,1900011
11,1627107562,52121,1950012
12,1627107562,257140,2000013
13,1627107562,461163,2050014
14,1627107562,670504,2100015
15,1627107562,872631,2150016
16,1627107563,76375,2200017
17,1627107563,280880,2250018
18,1627107563,485295,2300019
19,1627107563,687336,2350020
20,1627107563,887599,2400021
21,1627107564,91505,2450022
22,1627107564,295769,2500023
23,1627107564,498321,2550024
24,1627107564,701253,2600025
25,1627107564,904253,2650026
26,1627107565,104878,2700027
27,1627107565,309561,2750028
28,1627107565,513576,2800029
29,1627107565,716863,2850030
30,1627107565,920651,2900031
31,1627107566,123286,2950032
32,1627107566,325984,3000033
33,1627107566,530684,3050034
34,1627107566,731362,3100035
35,1627107566,934129,3150036
36,1627107567,136197,3200037
37,1627107567,338657,3250038
38,1627107567,541207,3300039
39,1627107567,743296,3350040
40,1627107567,949930,3400041
41,1627107568,155020,3450042
42,1627107568,355489,3500043
43,1627107568,559518,3550044
44,1627107568,764150,3600045
45,1627107568,968915,3650046
46,1627107569,184185,3700047
47,1627107569,386582,3750048
48,1627107569,589001,3800049
49,1627107569,792645,3850050
50,1627107569,997689,3900051
51,1627107570,198303,3950052
52,1627107570,400941,4000053
53,1627107570,604642,4050054
54,1627107570,807478,4100055
55,1627107571,11102,4150056
56,1627107571,214031,4200057
57,1627107571,418296,4250058
58,1627107571,621715,4300059
59,1627107571,823752,4350060
60,1627107572,26601,4400061
61,1627107572,231641,4450062
62,1627107572,435608,4500063
63,1627107572,639331,4550064
64,1627107572,844176,4600065
65,1627107573,46855,4650066
66,1627107573,251844,4700067
67,1627107573,455572,4750068
68,1627107573,660381,4800069
69,1627107573,889704,4850070
70,1627107574,91851,4900071
71,1627107574,298893,4950072
72,1627107574,502216,5000073
73,1627107574,706755,5050074
74,1627107574,908987,5100075
75,1627107575,113226,5150076
76,1627107575,315669,5200077
77,1627107575,519549,5250078
78,1627107575,722363,5300079
79,1627107575,925138,5350080
80,1627107576,129480,5400081
81,1627107576,332003,5450082
82,1627107576,534489,5500083
83,1627107576,738776,5550084
84,1627107576,943834,5600085
85,1627107577,147703,5650086
86,1627107577,350716,5700087
87,1627107577,552571,5750088
88,1627107577,756616,5800089
89,1627107577,961198,5850090
90,1627107578,164237,5900091
91,1627107578,369005,5950092
92,1627107578,574046,6000093
93,1627107578,774571,6050094
94,1627107578,976060,6100095
95,1627107579,181047,6150096
96,1627107579,385536,6200097
97,1627107579,585695,6250098
98,1627107579,788278,6300099
99,1627107579,991976,6350100
100,1627107580,194703,6400101
101,1627107580,396142,6450102
102,1627107580,600844,6500103
103,1627107580,803970,6550104
104,1627107581,7284,6600105
105,1627107581,207586,6650106
106,1627107581,411310,6700107
107,1627107581,614220,6750108
108,1627107581,814962,6800109
109,1627107582,19708,6850110
110,1627107582,220752,6900111
111,1627107582,424142,6950112
112,1627107582,626323,7000113
113,1627107582,830423,7050114
114,1627107583,35573,7100115
115,1627107583,236479,7150116
116,1627107583,440157,7200117
117,1627107583,642910,7250118
118,1627107583,846710,7300119
119,1627107584,50354,7350120
120,1627107584,254308,7400121
121,1627107584,455899,7450122
122,1627107584,657325,7500123
123,1627107584,859963,7550124
124,1627107585,64203,7600125
125,1627107585,268306,7650126
126,1627107585,472535,7700127
127,1627107585,676991,7750128
128,1627107585,879626,7800129
129,1627107586,82869,7850130
130,1627107586,285566,7900131
131,1627107586,487343,7950132
132,1627107586,689327,8000133
133,1627107586,893577,8050134
134,1627107587,96905,8100135
135,1627107587,300413,8150136
136,1627107587,501256,8200137
137,1627107587,706341,8250138
138,1627107587,906621,8300139
139,1627107588,111590,8350140
140,1627107588,316568,8400141
141,1627107588,519150,8450142
142,1627107588,723678,8500143
143,1627107588,926537,8550144
144,1627107589,131335,8600145
145,1627107589,332200,8650146
146,1627107589,539084,8700147
147,1627107589,739155,8750148
148,1627107589,941497,8800149
