counter,seconds,micro seconds,local clock [us]
228,1627359295,114151,13740229
229,1627359295,616416,13800230
230,1627359296,116535,13860231
231,1627359296,616914,13920232
232,1627359297,117202,13980233
233,1627359297,619134,14040234
234,1627359298,121664,14100235
235,1627359298,622775,14160236
236,1627359299,124425,14220237
237,1627359299,626524,14280238
238,1627359300,131555,14340239
239,1627359300,639794,14400240
240,1627359301,144401,14460241
241,1627359301,647597,14520242
242,1627359302,150152,14580243
243,1627359302,650846,14640244
244,1627359303,154340,14700245
245,1627359303,657887,14760246
246,1627359304,158920,14820247
247,1627359304,659942,14880248
248,1627359305,161072,14940249
249,1627359305,666308,15000250
250,1627359306,170232,15060251
251,1627359306,672250,15120252
252,1627359307,177319,15180253
253,1627359307,682321,15240254
254,1627359308,182381,15300255
255,1627359308,682558,15360256
256,1627359309,182676,15420257
257,1627359309,685078,15480258
258,1627359310,186841,15540259
259,1627359310,689382,15600260
260,1627359311,192596,15660261
261,1627359311,692779,15720262
262,1627359312,192963,15780263
263,1627359312,697837,15840264
264,1627359313,200677,15900265
265,1627359313,705376,15960266
266,1627359314,207086,16020267
267,1627359314,708600,16080268
268,1627359315,209744,16140269
269,1627359315,714857,16200270
270,1627359316,215737,16260271
271,1627359316,718970,16320272
272,1627359317,220536,16380273
273,1627359317,722784,16440274
274,1627359318,223572,16500275
275,1627359318,725270,16560276
276,1627359319,227391,16620277
277,1627359319,728169,16680278
278,1627359320,232679,16740279
279,1627359320,737523,16800280
280,1627359321,241383,16860281
281,1627359321,742719,16920282
282,1627359322,242790,16980283
283,1627359322,745048,17040284
284,1627359323,247227,17100285
285,1627359323,750460,17160286
286,1627359324,252195,17220287
287,1627359324,755095,17280288
288,1627359325,258165,17340289
289,1627359325,758985,17400290
290,1627359326,262806,17460291
291,1627359326,767453,17520292
292,1627359327,268354,17580293
293,1627359327,768477,17640294
294,1627359328,273474,17700295
295,1627359328,774617,17760296
296,1627359329,279688,17820297
297,1627359329,779713,17880298
298,1627359330,280991,17940299
299,1627359330,781056,18000300
300,1627359331,285316,18060301
301,1627359331,786295,18120302
302,1627359332,287729,18180303
303,1627359332,791372,18240304
304,1627359333,293977,18300305
305,1627359333,795590,18360306
306,1627359334,297810,18420307
307,1627359334,802680,18480308
308,1627359335,303733,18540309
309,1627359335,809367,18600310
310,1627359336,309447,18660311
311,1627359336,811663,18720312
312,1627359337,312535,18780313
313,1627359337,813354,18840314
314,1627359338,314190,18900315
315,1627359338,816613,18960316
316,1627359339,319886,19020317
317,1627359339,820127,19080318
318,1627359340,320200,19140319
319,1627359340,821630,19200320
320,1627359341,322233,19260321
321,1627359341,823563,19320322
322,1627359342,326537,19380323
323,1627359342,829961,19440324
324,1627359343,332897,19500325
325,1627359343,835658,19560326
326,1627359344,340679,19620327
327,1627359344,842896,19680328
328,1627359345,343043,19740329
329,1627359345,843644,19800330
330,1627359346,344075,19860331
331,1627359346,845486,19920332
332,1627359347,346470,19980333
333,1627359347,850156,20040334
334,1627359348,351182,20100335
335,1627359348,851223,20160336
336,1627359349,356245,20220337
337,1627359349,859668,20280338
338,1627359350,360497,20340339
339,1627359350,865360,20400340
340,1627359351,369410,20460341
341,1627359351,869753,20520342
342,1627359352,372994,20580343
343,1627359352,877538,20640344
344,1627359353,377577,20700345
345,1627359353,877905,20760346
346,1627359354,378603,20820347
347,1627359354,881239,20880348
348,1627359355,386262,20940349
349,1627359355,887114,21000350
350,1627359356,387700,21060351
351,1627359356,892516,21120352
352,1627359357,396132,21180353
353,1627359357,898169,21240354
354,1627359358,402590,21300355
355,1627359358,905455,21360356
356,1627359359,408331,21420357
357,1627359359,908843,21480358
358,1627359360,409055,21540359
359,1627359360,914047,21600360
360,1627359361,415103,21660361
361,1627359361,920250,21720362
362,1627359362,425352,21780363
363,1627359362,927679,21840364
364,1627359363,431547,21900365
365,1627359363,932682,21960366
366,1627359364,437287,22020367
367,1627359364,942421,22080368
368,1627359365,446571,22140369
369,1627359365,951712,22200370
370,1627359366,452069,22260371
371,1627359366,957138,22320372
372,1627359367,462115,22380373
373,1627359367,966477,22440374
374,1627359368,471594,22500375
375,1627359368,974558,22560376
376,1627359369,479707,22620377
377,1627359369,981501,22680378
378,1627359370,486595,22740379
379,1627359370,991559,22800380
380,1627359371,496732,22860381
381,1627359372,1701,22920382
382,1627359372,506807,22980383
383,1627359373,11730,23040384
384,1627359373,516829,23100385
385,1627359374,21855,23160386
386,1627359374,524731,23220387
387,1627359375,27751,23280388
388,1627359375,529703,23340389
389,1627359376,32776,23400390
390,1627359376,535752,23460391
391,1627359377,40378,23520392
392,1627359377,541251,23580393
393,1627359378,43955,23640394
394,1627359378,544700,23700395
395,1627359379,48748,23760396
396,1627359379,553080,23820397
397,1627359380,53781,23880398
398,1627359380,556743,23940399
399,1627359381,59759,24000400
400,1627359381,562340,24060401
401,1627359382,63201,24120402
402,1627359382,566019,24180403
403,1627359383,69074,24240404
404,1627359383,571209,24300405
405,1627359384,72650,24360406
406,1627359384,575412,24420407
407,1627359385,76201,24480408
408,1627359385,577450,24540409
409,1627359386,77966,24600410
410,1627359386,579117,24660411
411,1627359387,83039,24720412
412,1627359387,584516,24780413
413,1627359388,85004,24840414
414,1627359388,587619,24900415
415,1627359389,91462,24960416
416,1627359389,592542,25020417
417,1627359390,94846,25080418
418,1627359390,599332,25140419
419,1627359391,100809,25200420
420,1627359391,601079,25260421
421,1627359392,105741,25320422
422,1627359392,609364,25380423
423,1627359393,114459,25440424
424,1627359393,619405,25500425
425,1627359394,121736,25560426
426,1627359394,625447,25620427
427,1627359395,128810,25680428
428,1627359395,633895,25740429
429,1627359396,138733,25800430
430,1627359396,642862,25860431
431,1627359397,148011,25920432
432,1627359397,648206,25980433
433,1627359398,153287,26040434
434,1627359398,658097,26100435
435,1627359399,159769,26160436
436,1627359399,664969,26220437
437,1627359400,167402,26280438
438,1627359400,667563,26340439
439,1627359401,172596,26400440
440,1627359401,675680,26460441
441,1627359402,175936,26520442
442,1627359402,681130,26580443
443,1627359403,186081,26640444
444,1627359403,691199,26700445
445,1627359404,192596,26760446
446,1627359404,695019,26820447
447,1627359405,195917,26880448
448,1627359405,696548,26940449
449,1627359406,198598,27000450
450,1627359406,703660,27060451
451,1627359407,206076,27120452
452,1627359407,707551,27180453
453,1627359408,209025,27240454
454,1627359408,712462,27300455
455,1627359409,217579,27360456
456,1627359409,722473,27420457
457,1627359410,225714,27480458
458,1627359410,728015,27540459
459,1627359411,231673,27600460
460,1627359411,736597,27660461
461,1627359412,241701,27720462
462,1627359412,745353,27780463
463,1627359413,246937,27840464
464,1627359413,751670,27900465
465,1627359414,256679,27960466
466,1627359414,761301,28020467
467,1627359415,264969,28080468
468,1627359415,766782,28140469
469,1627359416,266827,28200470
470,1627359416,769510,28260471
471,1627359417,271072,28320472
472,1627359417,772672,28380473
473,1627359418,274153,28440474
474,1627359418,779029,28500475
475,1627359419,283357,28560476
476,1627359419,786884,28620477
477,1627359420,287478,28680478
478,1627359420,791307,28740479
479,1627359421,291536,28800480
480,1627359421,794082,28860481
481,1627359422,295985,28920482
482,1627359422,800783,28980483
483,1627359423,301410,29040484
484,1627359423,805221,29100485
485,1627359424,307731,29160486
486,1627359424,807972,29220487
487,1627359425,308010,29280488
488,1627359425,811755,29340489
489,1627359426,312446,29400490
490,1627359426,815716,29460491
491,1627359427,318468,29520492
492,1627359427,819449,29580493
493,1627359428,319701,29640494
494,1627359428,820712,29700495
495,1627359429,324650,29760496
496,1627359429,829198,29820497
497,1627359430,330071,29880498
498,1627359430,831101,29940499
499,1627359431,333550,30000500
500,1627359431,833949,30060501
501,1627359432,338579,30120502
502,1627359432,839745,30180503
503,1627359433,343585,30240504
504,1627359433,843782,30300505
505,1627359434,347899,30360506
506,1627359434,848908,30420507
507,1627359435,352031,30480508
508,1627359435,856349,30540509
509,1627359436,358346,30600510
510,1627359436,858598,30660511
511,1627359437,360432,30720512
512,1627359437,866019,30780513
513,1627359438,367431,30840514
514,1627359438,872458,30900515
515,1627359439,376373,30960516
516,1627359439,878960,31020517
517,1627359440,381796,31080518
518,1627359440,883554,31140519
519,1627359441,387539,31200520
520,1627359441,888934,31260521
521,1627359442,394866,31320522
522,1627359442,895088,31380523
523,1627359443,396251,31440524
524,1627359443,896606,31500525
525,1627359444,402469,31560526
526,1627359444,906568,31620527
527,1627359445,407458,31680528
528,1627359445,909081,31740529
529,1627359446,410568,31800530
530,1627359446,913569,31860531
531,1627359447,414319,31920532
532,1627359447,915944,31980533
533,1627359448,416765,32040534
534,1627359448,917698,32100535
535,1627359449,418972,32160536
536,1627359449,923399,32220537
537,1627359450,426868,32280538
538,1627359450,929029,32340539
539,1627359451,431297,32400540
540,1627359451,936113,32460541
541,1627359452,441001,32520542
542,1627359452,942544,32580543
543,1627359453,445512,32640544
544,1627359453,950536,32700545
