counter,seconds,micro seconds,local clock [ns]
0,1627176057,52817,1750003
1,1627176057,257567,1800004
2,1627176057,458721,1850005
3,1627176057,658929,1900006
4,1627176057,861343,1950007
5,1627176058,61782,2000008
6,1627176058,265050,2050009
7,1627176058,468444,2100010
8,1627176058,673219,2150011
9,1627176058,877160,2200012
10,1627176059,80423,2250013
11,1627176059,285138,2300014
12,1627176059,486840,2350015
13,1627176059,688116,2400016
14,1627176059,893168,2450017
15,1627176060,97444,2500018
16,1627176060,299604,2550019
17,1627176060,501482,2600020
18,1627176060,705840,2650021
19,1627176060,910974,2700022
20,1627176061,112246,2750023
21,1627176061,315264,2800024
22,1627176061,518438,2850025
23,1627176061,722608,2900026
24,1627176061,924909,2950027
25,1627176062,129972,3000028
26,1627176062,331364,3050029
27,1627176062,534163,3100030
28,1627176062,738761,3150031
29,1627176062,940113,3200032
30,1627176063,142679,3250033
31,1627176063,347752,3300034
32,1627176063,550329,3350035
33,1627176063,755047,3400036
34,1627176063,956170,3450037
35,1627176064,161331,3500038
36,1627176064,362970,3550039
37,1627176064,563895,3600040
38,1627176064,769000,3650041
39,1627176064,973363,3700042
40,1627176065,175578,3750043
41,1627176065,378057,3800044
42,1627176065,581884,3850045
43,1627176065,786343,3900046
44,1627176065,989350,3950047
45,1627176066,193323,4000048
46,1627176066,394878,4050049
47,1627176066,595599,4100050
48,1627176066,796991,4150051
49,1627176066,998411,4200052
50,1627176067,202946,4250053
51,1627176067,405613,4300054
52,1627176067,609696,4350055
53,1627176067,811124,4400056
54,1627176068,13315,4450057
55,1627176068,217424,4500058
56,1627176068,422333,4550059
57,1627176068,625771,4600060
58,1627176068,830290,4650061
59,1627176069,30663,4700062
60,1627176069,231001,4750063
61,1627176069,433769,4800064
62,1627176069,633943,4850065
63,1627176069,834157,4900066
64,1627176070,37077,4950067
65,1627176070,237523,5000068
66,1627176070,438058,5050069
67,1627176070,639256,5100070
68,1627176070,841491,5150071
69,1627176071,44942,5200072
70,1627176071,247745,5250073
71,1627176071,452872,5300074
72,1627176071,653681,5350075
73,1627176071,858968,5400076
74,1627176072,60392,5450077
75,1627176072,263630,5500078
76,1627176072,466922,5550079
77,1627176072,667522,5600080
78,1627176072,869340,5650081
79,1627176073,70501,5700082
80,1627176073,273447,5750083
81,1627176073,477455,5800084
82,1627176073,681383,5850085
83,1627176073,884992,5900086
84,1627176074,88373,5950087
85,1627176074,289490,6000088
86,1627176074,494679,6050089
87,1627176074,695859,6100090
88,1627176074,900183,6150091
89,1627176075,102115,6200092
90,1627176075,302195,6250093
91,1627176075,507363,6300094
92,1627176075,709058,6350095
93,1627176075,913689,6400096
94,1627176076,116216,6450097
95,1627176076,316301,6500098
96,1627176076,518757,6550099
97,1627176076,718995,6600100
98,1627176076,919613,6650101
99,1627176077,122263,6700102
100,1627176077,326489,6750103
101,1627176077,528679,6800104
102,1627176077,729132,6850105
103,1627176077,932331,6900106
104,1627176078,133983,6950107
105,1627176078,335709,7000108
106,1627176078,538891,7050109
107,1627176078,744269,7100110
108,1627176078,945575,7150111
109,1627176079,146513,7200112
110,1627176079,351479,7250113
111,1627176079,552390,7300114
112,1627176079,753438,7350115
113,1627176079,955310,7400116
114,1627176080,160298,7450117
115,1627176080,363527,7500118
116,1627176080,568681,7550119
117,1627176080,768814,7600120
118,1627176080,970532,7650121
119,1627176081,174253,7700122
120,1627176081,376353,7750123
121,1627176081,580782,7800124
122,1627176081,781934,7850125
123,1627176081,986642,7900126
124,1627176082,191133,7950127
125,1627176082,393428,8000128
126,1627176082,598081,8050129
127,1627176082,799505,8100130
128,1627176083,747,8150131
129,1627176083,201090,8200132
130,1627176083,403527,8250133
131,1627176083,607687,8300134
132,1627176083,811667,8350135
133,1627176084,16837,8400136
134,1627176084,221889,8450137
135,1627176084,424638,8500138
136,1627176084,628028,8550139
137,1627176084,831481,8600140
138,1627176085,35981,8650141
139,1627176085,237876,8700142
140,1627176085,442305,8750143
141,1627176085,646393,8800144
142,1627176085,851435,8850145
143,1627176086,56526,8900146
144,1627176086,259681,8950147
145,1627176086,460580,9000148
146,1627176086,665687,9050149
147,1627176086,870869,9100150
148,1627176087,72118,9150151
149,1627176087,272498,9200152
150,1627176087,475272,9250153
151,1627176087,675898,9300154
152,1627176087,881050,9350155
153,1627176088,81876,9400156
154,1627176088,287010,9450157
155,1627176088,488478,9500158
156,1627176088,693020,9550159
157,1627176088,895037,9600160
158,1627176089,99756,9650161
159,1627176089,300862,9700162
160,1627176089,506037,9750163
161,1627176089,707742,9800164
162,1627176089,909199,9850165
163,1627176090,113993,9900166
164,1627176090,317210,9950167
165,1627176090,520409,10000168
166,1627176090,724208,10050169
167,1627176090,926593,10100170
168,1627176091,128153,10150171
169,1627176091,332907,10200172
170,1627176091,534513,10250173
171,1627176091,739358,10300174
172,1627176091,942413,10350175
173,1627176092,145594,10400176
174,1627176092,349697,10450177
175,1627176092,552158,10500178
176,1627176092,752313,10550179
177,1627176092,952427,10600180
178,1627176093,157031,10650181
179,1627176093,358801,10700182
180,1627176093,561928,10750183
181,1627176093,762697,10800184
182,1627176093,965463,10850185
183,1627176094,168780,10900186
184,1627176094,369794,10950187
185,1627176094,572106,11000188
186,1627176094,775740,11050189
187,1627176094,978501,11100190
188,1627176095,178939,11150191
189,1627176095,379168,11200192
190,1627176095,582237,11250193
191,1627176095,787154,11300194
192,1627176095,988497,11350195
193,1627176096,192396,11400196
194,1627176096,394864,11450197
195,1627176096,599498,11500198
196,1627176096,803211,11550199
197,1627176097,3477,11600200
198,1627176097,203632,11650201
199,1627176097,404639,11700202
200,1627176097,609815,11750203
201,1627176097,811310,11800204
202,1627176098,16465,11850205
203,1627176098,217693,11900206
204,1627176098,417961,11950207
205,1627176098,620959,12000208
206,1627176098,821483,12050209
207,1627176099,26615,12100210
208,1627176099,227692,12150211
209,1627176099,432861,12200212
210,1627176099,634054,12250213
211,1627176099,839265,12300214
212,1627176100,40484,12350215
213,1627176100,245597,12400216
214,1627176100,446856,12450217
215,1627176100,651950,12500218
216,1627176100,853023,12550219
217,1627176101,54270,12600220
218,1627176101,259421,12650221
219,1627176101,464640,12700222
220,1627176101,665935,12750223
221,1627176101,871001,12800224
222,1627176102,72195,12850225
223,1627176102,276601,12900226
224,1627176102,478562,12950227
225,1627176102,681144,13000228
226,1627176102,884829,13050229
227,1627176103,86007,13100230
228,1627176103,291163,13150231
229,1627176103,496393,13200232
230,1627176103,697687,13250233
231,1627176103,900885,13300234
232,1627176104,103991,13350235
233,1627176104,309027,13400236
234,1627176104,510281,13450237
235,1627176104,712910,13500238
236,1627176104,916360,13550239
