counter,seconds,micro seconds,local clock [ns]
0,1627176055,631513,1400002
1,1627176055,836644,1450003
2,1627176056,38609,1500004
3,1627176056,241206,1550005
4,1627176056,444990,1600006
5,1627176056,648586,1650007
6,1627176056,851630,1700008
7,1627176057,52758,1750009
8,1627176057,257517,1800010
9,1627176057,458673,1850011
10,1627176057,658916,1900012
11,1627176057,861371,1950013
12,1627176058,61759,2000014
13,1627176058,265042,2050015
14,1627176058,468469,2100016
15,1627176058,673216,2150017
16,1627176058,877215,2200018
17,1627176059,80470,2250019
18,1627176059,285117,2300020
19,1627176059,486834,2350021
20,1627176059,688081,2400022
21,1627176059,893077,2450023
22,1627176060,97416,2500024
23,1627176060,299549,2550025
24,1627176060,501445,2600026
25,1627176060,705765,2650027
26,1627176060,910974,2700028
27,1627176061,112277,2750029
28,1627176061,315278,2800030
29,1627176061,518549,2850031
30,1627176061,722581,2900032
31,1627176061,924778,2950033
32,1627176062,129996,3000034
33,1627176062,331342,3050035
34,1627176062,534154,3100036
35,1627176062,738740,3150037
36,1627176062,940113,3200038
37,1627176063,142638,3250039
38,1627176063,347735,3300040
39,1627176063,550335,3350041
40,1627176063,754953,3400042
41,1627176063,956153,3450043
42,1627176064,161315,3500044
43,1627176064,362904,3550045
44,1627176064,563890,3600046
45,1627176064,768988,3650047
46,1627176064,973398,3700048
47,1627176065,175664,3750049
48,1627176065,378110,3800050
49,1627176065,582019,3850051
50,1627176065,786357,3900052
51,1627176065,989329,3950053
52,1627176066,193297,4000054
53,1627176066,394771,4050055
54,1627176066,595632,4100056
55,1627176066,797013,4150057
56,1627176066,998417,4200058
57,1627176067,202968,4250059
58,1627176067,405628,4300060
59,1627176067,609764,4350061
60,1627176067,811178,4400062
61,1627176068,13333,4450063
62,1627176068,217528,4500064
63,1627176068,422378,4550065
64,1627176068,625793,4600066
65,1627176068,830279,4650067
66,1627176069,30690,4700068
67,1627176069,231055,4750069
68,1627176069,433879,4800070
69,1627176069,634653,4850071
70,1627176069,835205,4900072
71,1627176070,40198,4950073
72,1627176070,243912,5000074
73,1627176070,446713,5050075
74,1627176070,652902,5100076
75,1627176070,855424,5150077
76,1627176071,58863,5200078
77,1627176071,262258,5250079
78,1627176071,464455,5300080
79,1627176071,665711,5350081
80,1627176071,869335,5400082
81,1627176072,71958,5450083
82,1627176072,272125,5500084
83,1627176072,476679,5550085
84,1627176072,677732,5600086
85,1627176072,880294,5650087
86,1627176073,82308,5700088
87,1627176073,286660,5750089
88,1627176073,488431,5800090
89,1627176073,693036,5850091
90,1627176073,898652,5900092
91,1627176074,98968,5950093
92,1627176074,301002,6000094
93,1627176074,501587,6050095
94,1627176074,706610,6100096
95,1627176074,908830,6150097
96,1627176075,114216,6200098
97,1627176075,318208,6250099
98,1627176075,521021,6300100
99,1627176075,721463,6350101
100,1627176075,923880,6400102
101,1627176076,125665,6450103
102,1627176076,328586,6500104
103,1627176076,531737,6550105
104,1627176076,734086,6600106
105,1627176076,936566,6650107
106,1627176077,139599,6700108
107,1627176077,343539,6750109
108,1627176077,548325,6800110
109,1627176077,751387,6850111
110,1627176077,953412,6900112
111,1627176078,155650,6950113
112,1627176078,359050,7000114
113,1627176078,561967,7050115
114,1627176078,762597,7100116
115,1627176078,964250,7150117
116,1627176079,167613,7200118
117,1627176079,371224,7250119
118,1627176079,573435,7300120
119,1627176079,776909,7350121
120,1627176079,978367,7400122
121,1627176080,179249,7450123
122,1627176080,382255,7500124
123,1627176080,583283,7550125
124,1627176080,783504,7600126
125,1627176080,988619,7650127
126,1627176081,191340,7700128
127,1627176081,394928,7750129
128,1627176081,595284,7800130
129,1627176081,795742,7850131
130,1627176081,998382,7900132
131,1627176082,199336,7950133
132,1627176082,400573,8000134
133,1627176082,605436,8050135
134,1627176082,809821,8100136
135,1627176083,12246,8150137
136,1627176083,214742,8200138
137,1627176083,415959,8250139
138,1627176083,619078,8300140
139,1627176083,821252,8350141
140,1627176084,26221,8400142
141,1627176084,229865,8450143
142,1627176084,431993,8500144
143,1627176084,633916,8550145
144,1627176084,838702,8600146
145,1627176085,43597,8650147
146,1627176085,248593,8700148
147,1627176085,450784,8750149
148,1627176085,655569,8800150
149,1627176085,859687,8850151
150,1627176086,63786,8900152
151,1627176086,266540,8950153
152,1627176086,471186,9000154
153,1627176086,672200,9050155
154,1627176086,873461,9100156
155,1627176087,73632,9150157
156,1627176087,273829,9200158
157,1627176087,475294,9250159
158,1627176087,675951,9300160
159,1627176087,881062,9350161
160,1627176088,82171,9400162
161,1627176088,287047,9450163
162,1627176088,488635,9500164
163,1627176088,693075,9550165
164,1627176088,895025,9600166
165,1627176089,99692,9650167
166,1627176089,300862,9700168
167,1627176089,506036,9750169
168,1627176089,707742,9800170
169,1627176089,909209,9850171
170,1627176090,114040,9900172
171,1627176090,317219,9950173
172,1627176090,520452,10000174
173,1627176090,724221,10050175
174,1627176090,926544,10100176
175,1627176091,128173,10150177
176,1627176091,332926,10200178
177,1627176091,534503,10250179
178,1627176091,739217,10300180
179,1627176091,942411,10350181
180,1627176092,145588,10400182
181,1627176092,349708,10450183
182,1627176092,552195,10500184
183,1627176092,752327,10550185
184,1627176092,952423,10600186
185,1627176093,157012,10650187
186,1627176093,358813,10700188
187,1627176093,562328,10750189
188,1627176093,762689,10800190
189,1627176093,965464,10850191
190,1627176094,168805,10900192
191,1627176094,369808,10950193
192,1627176094,572155,11000194
193,1627176094,775746,11050195
194,1627176094,978496,11100196
195,1627176095,178927,11150197
196,1627176095,379038,11200198
197,1627176095,582236,11250199
198,1627176095,787165,11300200
199,1627176095,988497,11350201
200,1627176096,192413,11400202
201,1627176096,394757,11450203
202,1627176096,599498,11500204
203,1627176096,803234,11550205
204,1627176097,3514,11600206
205,1627176097,206186,11650207
206,1627176097,407130,11700208
207,1627176097,609818,11750209
208,1627176097,811291,11800210
209,1627176098,16496,11850211
210,1627176098,217729,11900212
211,1627176098,417938,11950213
212,1627176098,620928,12000214
213,1627176098,821412,12050215
214,1627176099,26595,12100216
215,1627176099,227703,12150217
216,1627176099,432862,12200218
217,1627176099,634077,12250219
218,1627176099,839246,12300220
219,1627176100,40415,12350221
220,1627176100,245597,12400222
221,1627176100,446773,12450223
222,1627176100,651977,12500224
223,1627176100,853103,12550225
224,1627176101,54289,12600226
225,1627176101,259460,12650227
226,1627176101,464611,12700228
227,1627176101,665819,12750229
228,1627176101,871020,12800230
229,1627176102,72271,12850231
230,1627176102,276634,12900232
231,1627176102,478598,12950233
232,1627176102,681133,13000234
233,1627176102,884774,13050235
234,1627176103,86008,13100236
235,1627176103,291206,13150237
236,1627176103,496395,13200238
237,1627176103,697677,13250239
238,1627176103,900855,13300240
239,1627176104,103941,13350241
240,1627176104,308991,13400242
241,1627176104,510170,13450243
242,1627176104,712884,13500244
243,1627176104,916419,13550245
244,1627176105,118943,13600246
245,1627176105,323015,13650247
246,1627176105,528148,13700248
247,1627176105,729358,13750249
248,1627176105,934556,13800250
249,1627176106,135602,13850251
250,1627176106,340717,13900252
251,1627176106,542034,13950253
252,1627176106,747181,14000254
253,1627176106,948193,14050255
254,1627176107,148248,14100256
255,1627176107,348637,14150257
256,1627176107,552162,14200258
257,1627176107,757297,14250259
258,1627176107,958350,14300260
259,1627176108,161491,14350261
